Gene,# Hairpins,NES,Gene rank,p-value,p-value rank
SNX32,6,0.3787,7050,0.3272,7315
ZFP69B,6,0.3787,7051,0.3272,7314
COX5B,6,0.3788,7052,0.3272,7316
GOLGA3,6,0.3788,7053,0.3272,7309
ACAD11,6,0.3788,7054,0.3272,7313
UMOD,6,0.3789,7055,0.3273,7317
ZHX2,6,0.3789,7056,0.3274,7319
HRK,6,0.3789,7057,0.3274,7320
HRNR,6,0.379,7058,0.3275,7322
UGT3A2,6,0.379,7059,0.3276,7325
TMEM79,6,0.379,7060,0.3276,7323
BRF2,6,0.379,7061,0.3276,7324
PGBD1,6,0.3792,7062,0.3277,7327
ZNF346,6,0.3792,7063,0.3277,7330
ZIC3,6,0.3792,7064,0.3277,7326
MRGPRX2,6,0.3792,7065,0.3277,7329
WDR72,6,0.3793,7066,0.3277,7328
TGFBR2,6,0.3794,7067,0.3278,7332
INTS8,6,0.3794,7068,0.3278,7331
HOMEZ,6,0.3795,7069,0.3281,7334
FGF10,6,0.3795,7070,0.3281,7335
TIPIN,6,0.3795,7071,0.3281,7333
DNAJC25,6,0.3796,7072,0.3282,7336
HYLS1,6,0.3796,7073,0.3283,7337
PLSCR1,6,0.3796,7074,0.3284,7342
VWA3A,6,0.3797,7075,0.3284,7343
GPAA1,6,0.3797,7076,0.3284,7341
VPS13A,6,0.3797,7077,0.3284,7338
C2orf54,6,0.3797,7078,0.3284,7344
S100A13,6,0.3797,7079,0.3284,7339
AP4S1,6,0.3797,7080,0.3284,7340
GLTSCR1L,6,0.3798,7081,0.3284,7345
hsa-mir-4774,4,0.3798,7082,0.2848,6371
DSTYK,6,0.3798,7083,0.3285,7347
HAUS1,6,0.38,7084,0.3285,7349
SLC35E4,6,0.38,7085,0.3285,7346
HOXA3,6,0.38,7086,0.3285,7348
KLHL1,6,0.3801,7087,0.3286,7350
OMD,6,0.3801,7088,0.3287,7351
DNLZ,6,0.3802,7089,0.3288,7352
U2AF1L4,6,0.3802,7090,0.3288,7353
C21orf62,6,0.3802,7091,0.3289,7354
ZFR,6,0.3802,7092,0.3289,7356
LIN7C,6,0.3802,7093,0.3289,7355
SLC25A3,6,0.3802,7094,0.329,7357
C9orf69,6,0.3802,7095,0.329,7359
CERS5,6,0.3805,7096,0.3294,7360
THSD1,6,0.3806,7097,0.3296,7361
TMEM254,6,0.3807,7098,0.3296,7362
BTK,6,0.3808,7099,0.3298,7364
FBXL16,6,0.3808,7100,0.3298,7366
NonTargetingControlGuideForHuman_0819,2,0.3809,7101,0.1335,3035
IL18R1,6,0.3809,7102,0.3298,7369
ZBP1,6,0.3809,7103,0.3298,7372
ZNF431,6,0.3809,7104,0.3298,7373
MTMR10,6,0.3809,7105,0.3298,7365
MORC3,6,0.3809,7106,0.3298,7368
C2orf68,6,0.381,7107,0.3298,7371
OR10G3,6,0.381,7108,0.3298,7370
ZNF518B,6,0.381,7109,0.3299,7375
YKT6,6,0.381,7110,0.3299,7374
COMP,6,0.3811,7111,0.3301,7377
NonTargetingControlGuideForHuman_0277,2,0.3812,7112,0.1337,3040
ECE2,6,0.3812,7113,0.3301,7378
SLC22A18,6,0.3813,7114,0.3302,7380
PRCC,6,0.3813,7115,0.3302,7379
DHRS1,6,0.3813,7116,0.3303,7381
NonTargetingControlGuideForHuman_0851,2,0.3813,7117,0.1338,3043
MALL,6,0.3814,7118,0.3304,7387
RBM45,6,0.3814,7119,0.3304,7383
FANCD2OS,6,0.3815,7120,0.3304,7386
hsa-mir-4283-2,4,0.3815,7121,0.2873,6401
RMND5B,6,0.3815,7122,0.3304,7388
PCBP1,6,0.3815,7123,0.3304,7384
MRAP2,6,0.3815,7124,0.3304,7385
NGDN,6,0.3815,7125,0.3304,7382
hsa-mir-3669,4,0.3815,7126,0.2873,6400
NonTargetingControlGuideForHuman_0292,2,0.3816,7127,0.134,3051
LIAS,6,0.3816,7128,0.3307,7390
MAN2C1,6,0.3816,7129,0.3307,7391
KLHL10,6,0.3817,7130,0.3308,7397
LRRC37A3,6,0.3818,7131,0.3308,7392
hsa-mir-593,4,0.3818,7132,0.2874,6404
PSG8,6,0.3818,7133,0.3308,7394
JSRP1,6,0.3818,7134,0.3308,7396
C11orf52,6,0.3819,7135,0.3308,7395
TIMM17A,6,0.3819,7136,0.3308,7398
IL7,6,0.3819,7137,0.3308,7393
ALDH1L2,6,0.382,7138,0.3308,7399
ZNF425,6,0.3821,7139,0.331,7404
ATP5L2,6,0.3821,7140,0.331,7402
OR8B3,6,0.3821,7141,0.331,7403
WEE2,6,0.3822,7142,0.3312,7405
SASH3,6,0.3822,7143,0.3313,7406
HDAC8,6,0.3823,7144,0.3314,7407
SNRNP35,6,0.3823,7145,0.3315,7408
KLHDC1,6,0.3823,7146,0.3316,7409
OR2A7,6,0.3824,7147,0.3316,7410
RPAP2,6,0.3825,7148,0.3317,7411
ZNF285,6,0.3825,7149,0.3318,7414
CEBPD,6,0.3825,7150,0.3318,7412
UNC13A,6,0.3825,7151,0.3318,7413
UHRF1,6,0.3826,7152,0.3319,7417
CRX,6,0.3826,7153,0.3319,7415
RBM14-RBM4,6,0.3826,7154,0.3319,7416
FAM114A1,6,0.3826,7155,0.332,7421
ZRANB2,6,0.3826,7156,0.332,7423
VPS37C,6,0.3826,7157,0.332,7418
GNPDA1,6,0.3827,7158,0.332,7422
MAP3K11,6,0.3827,7159,0.332,7419
CLDN25,6,0.3827,7160,0.3321,7425
KIF6,6,0.3828,7161,0.3321,7424
RPGRIP1,6,0.3828,7162,0.3321,7426
SLC5A1,6,0.3828,7163,0.3322,7433
OR2M7,6,0.3828,7164,0.3322,7430
SLC30A5,4,0.3828,7165,0.2891,6441
hsa-mir-5707,2,0.3829,7166,0.1346,3064
SSFA2,6,0.3829,7167,0.3322,7434
UPRT,6,0.383,7168,0.3322,7432
GPR85,6,0.383,7169,0.3322,7428
PTPN12,5,0.383,7170,0.3164,7069
ARPC5L,6,0.3831,7171,0.3322,7427
TESPA1,6,0.3831,7172,0.3322,7431
ALOX15,6,0.3831,7173,0.3322,7429
EMP3,6,0.3831,7174,0.3324,7436
ZNF326,6,0.3831,7175,0.3324,7439
MYH11,6,0.3831,7176,0.3324,7437
ICAM2,6,0.3832,7177,0.3324,7438
OR4K14,6,0.3833,7178,0.3325,7441
GFI1B,6,0.3833,7179,0.3325,7443
CRYL1,6,0.3833,7180,0.3325,7442
P4HTM,6,0.3833,7181,0.3325,7440
PSAP,6,0.3834,7182,0.3326,7445
NonTargetingControlGuideForHuman_0108,2,0.3834,7183,0.1347,3065
SLC39A3,6,0.3834,7184,0.3326,7444
NonTargetingControlGuideForHuman_0664,2,0.3835,7185,0.1349,3069
KNTC1,6,0.3835,7186,0.3327,7447
POU3F2,6,0.3835,7187,0.3327,7448
PLOD2,6,0.3836,7188,0.3327,7446
AP3M2,6,0.3837,7189,0.333,7450
EIF4E1B,6,0.3837,7190,0.3332,7452
OCRL,6,0.3838,7191,0.3332,7453
hsa-mir-3159,4,0.3838,7192,0.2904,6462
NANP,6,0.3839,7193,0.3332,7454
hsa-mir-7843,4,0.3839,7194,0.2904,6464
hsa-mir-1468,4,0.3839,7195,0.2905,6466
SETD5,6,0.384,7196,0.3333,7458
WDR55,6,0.384,7197,0.3333,7457
IPO5,6,0.384,7198,0.3333,7462
TMEM167A,6,0.384,7199,0.3333,7461
ITLN2,6,0.384,7200,0.3333,7455
ZFY,6,0.384,7201,0.3333,7460
C2orf82,6,0.384,7202,0.3333,7463
RPF1,6,0.384,7203,0.3333,7465
MFSD2B,6,0.384,7204,0.3333,7459
CFHR1,6,0.3841,7205,0.3333,7456
ZNF391,6,0.3841,7206,0.3333,7464
AIFM1,6,0.3842,7207,0.3334,7467
GOLGB1,6,0.3844,7208,0.3334,7466
ANKRA2,6,0.3845,7209,0.3336,7470
CDC42SE1,6,0.3845,7210,0.3336,7471
KIF21A,6,0.3845,7211,0.3337,7472
ZNF441,6,0.3846,7212,0.3337,7474
hsa-mir-6762,4,0.3846,7213,0.2916,6499
ARFGAP2,6,0.3846,7214,0.3338,7475
LCMT1,6,0.3847,7215,0.334,7476
CALML3,6,0.3848,7216,0.3341,7477
DHX38,6,0.3848,7217,0.3341,7478
CLIC2,6,0.3848,7218,0.3341,7479
SPATA17,6,0.385,7219,0.3342,7480
NINJ1,6,0.385,7220,0.3343,7481
DYRK2,6,0.385,7221,0.3343,7487
EPM2AIP1,6,0.3851,7222,0.3343,7483
DDI2,6,0.3851,7223,0.3343,7486
C1orf198,6,0.3851,7224,0.3343,7482
DNM2,6,0.3851,7225,0.3343,7484
TMEM131,6,0.3851,7226,0.3343,7485
TMOD2,6,0.3851,7227,0.3344,7491
RUNX3,6,0.3852,7228,0.3344,7490
CXorf65,6,0.3852,7229,0.3344,7492
SEL1L2,6,0.3853,7230,0.3344,7488
GGA2,6,0.3853,7231,0.3344,7489
RCN3,6,0.3853,7232,0.3345,7493
TMEM184A,6,0.3853,7233,0.3345,7494
SLC4A10,6,0.3855,7234,0.3348,7499
hsa-mir-532,4,0.3855,7235,0.2928,6524
C4orf51,6,0.3855,7236,0.3348,7498
SPOCD1,6,0.3855,7237,0.3348,7497
METTL10,6,0.3856,7238,0.3349,7501
ZNF85,6,0.3856,7239,0.3349,7500
PRDX6,6,0.3856,7240,0.335,7502
THAP1,6,0.3856,7241,0.335,7504
TERF1,6,0.3857,7242,0.335,7503
HUS1B,6,0.3857,7243,0.3351,7507
GJB2,6,0.3857,7244,0.3351,7506
C1orf105,6,0.3857,7245,0.3352,7509
ZNF222,6,0.3857,7246,0.3352,7511
WDR47,6,0.3857,7247,0.3352,7510
METTL21A,6,0.3858,7248,0.3352,7508
hsa-mir-649,4,0.3858,7249,0.2932,6539
ZNF227,6,0.3859,7250,0.3353,7512
FIGNL1,6,0.3859,7251,0.3354,7513
POLM,6,0.3861,7252,0.3359,7515
LOC339862,6,0.3861,7253,0.336,7517
LRRC57,6,0.3861,7254,0.336,7516
hsa-mir-607,4,0.3862,7255,0.2939,6569
LDLRAD1,6,0.3863,7256,0.3361,7523
NDST1,6,0.3863,7257,0.3361,7520
SHC2,6,0.3863,7258,0.3361,7521
PLEKHM2,6,0.3863,7259,0.3361,7522
BCAR3,6,0.3863,7260,0.3361,7518
LHX2,6,0.3864,7261,0.3361,7519
CYHR1,6,0.3865,7262,0.3362,7524
MARCKSL1,6,0.3865,7263,0.3362,7525
LOC728819,6,0.3865,7264,0.3363,7527
PKD2L1,6,0.3865,7265,0.3363,7526
KRTAP12-3,6,0.3866,7266,0.3365,7528
TMCO3,6,0.3866,7267,0.3367,7531
PLXNB2,6,0.3866,7268,0.3367,7534
C19orf44,6,0.3867,7269,0.3367,7536
SLC26A2,6,0.3867,7270,0.3367,7530
PCDP1,6,0.3868,7271,0.3367,7532
IL15RA,6,0.3868,7272,0.3367,7535
TMEM230,6,0.3869,7273,0.3367,7533
TRIM37,6,0.387,7274,0.3368,7539
PHACTR3,6,0.387,7275,0.3368,7538
MYO15A,6,0.387,7276,0.3368,7540
BZRAP1,6,0.3872,7277,0.3372,7541
C12orf10,6,0.3872,7278,0.3372,7542
LRG1,6,0.3872,7279,0.3372,7543
hsa-mir-875,4,0.3872,7280,0.2953,6599
GPR152,6,0.3872,7281,0.3373,7544
NonTargetingControlGuideForHuman_0716,2,0.3872,7282,0.138,3152
SNX6,6,0.3873,7283,0.3375,7549
UBE2Z,6,0.3873,7284,0.3375,7547
C17orf62,6,0.3873,7285,0.3375,7546
STK17A,6,0.3874,7286,0.3375,7548
PLD3,6,0.3874,7287,0.3375,7545
ARHGEF26,6,0.3875,7288,0.3376,7557
SLC12A2,6,0.3875,7289,0.3376,7551
FZD10,6,0.3875,7290,0.3376,7556
NPAS2,6,0.3875,7291,0.3376,7550
KIF4A,6,0.3875,7292,0.3376,7552
EVC2,6,0.3875,7293,0.3376,7554
BDKRB2,6,0.3876,7294,0.3376,7553
ZC3H7A,6,0.3877,7295,0.3378,7558
PRAMEF6,6,0.3877,7296,0.3378,7560
CKLF-CMTM1,6,0.3879,7297,0.3378,7559
HID1,6,0.3879,7298,0.3379,7563
TDO2,6,0.3879,7299,0.3379,7562
ZNF844,6,0.3879,7300,0.3379,7564
GPR108,6,0.3879,7301,0.3379,7561
LEAP2,6,0.388,7302,0.3382,7565
PLGLB2,6,0.3881,7303,0.3384,7567
POPDC2,6,0.3881,7304,0.3384,7568
METTL5,6,0.3882,7305,0.3386,7570
CACNA1C,6,0.3883,7306,0.3388,7579
CCDC42B,6,0.3883,7307,0.3388,7581
NTSR1,6,0.3883,7308,0.3388,7574
LRRC38,6,0.3883,7309,0.3388,7572
PSMA5,6,0.3883,7310,0.3388,7576
SEMA4F,6,0.3883,7311,0.3388,7573
C19orf81,6,0.3884,7312,0.3388,7580
MORN2,6,0.3884,7313,0.3388,7577
HSPB8,6,0.3885,7314,0.3388,7571
CNTROB,6,0.3885,7315,0.3388,7575
AJUBA,6,0.3886,7316,0.3389,7582
hsa-mir-4484,4,0.3886,7317,0.297,6624
BAZ1B,6,0.3887,7318,0.3392,7583
DICER1,6,0.3887,7319,0.3393,7584
TANC1,6,0.3887,7320,0.3393,7586
hsa-mir-98,4,0.3888,7321,0.297,6626
hsa-mir-6876,4,0.3888,7322,0.297,6623
STRN3,6,0.3888,7323,0.3394,7587
MKI67IP,6,0.389,7324,0.3398,7589
U2SURP,6,0.389,7325,0.3398,7591
C10orf76,6,0.389,7326,0.3398,7590
RANBP3,6,0.3891,7327,0.3399,7595
ZNF91,6,0.3891,7328,0.3399,7592
hsa-mir-4479,4,0.3891,7329,0.2972,6634
GLRX5,6,0.3892,7330,0.34,7598
C3orf38,6,0.3892,7331,0.34,7596
FAIM,6,0.3893,7332,0.34,7599
NRTN,6,0.3893,7333,0.34,7597
TCTE3,6,0.3894,7334,0.34,7600
C7orf25,6,0.3895,7335,0.3401,7602
C1QC,6,0.3896,7336,0.3401,7603
SERPINB5,6,0.3896,7337,0.3401,7601
TMEM139,6,0.3896,7338,0.3401,7604
CXCL11,6,0.3896,7339,0.3403,7605
C1orf43,6,0.3896,7340,0.3403,7607
NGB,6,0.3897,7341,0.3403,7606
RELT,6,0.3897,7342,0.3404,7610
ONECUT2,6,0.3897,7343,0.3404,7608
EBLN1,6,0.3897,7344,0.3404,7612
SP1,6,0.3897,7345,0.3404,7609
FNDC9,6,0.3898,7346,0.3404,7611
AP1S2,6,0.39,7347,0.3407,7613
OR4M2,6,0.39,7348,0.3408,7616
FGFRL1,6,0.39,7349,0.3408,7615
GPR22,6,0.39,7350,0.3408,7614
hsa-mir-301b,4,0.3901,7351,0.2981,6659
RASSF6,6,0.3901,7352,0.3409,7617
ZNF318,6,0.3902,7353,0.3411,7619
RAB5C,6,0.3902,7354,0.3411,7618
NonTargetingControlGuideForHuman_0040,2,0.3902,7355,0.1406,3194
TMEM74,6,0.3903,7356,0.3412,7621
GDI1,6,0.3903,7357,0.3413,7623
CLEC19A,6,0.3903,7358,0.3413,7622
PODN,6,0.3904,7359,0.3414,7624
C7orf66,6,0.3906,7360,0.3418,7628
FBP1,6,0.3906,7361,0.3418,7632
DPYS,6,0.3906,7362,0.3418,7627
ZNF513,6,0.3907,7363,0.3418,7634
ZNF729,6,0.3907,7364,0.3418,7633
RMDN1,6,0.3907,7365,0.3418,7626
NECAB1,6,0.3907,7366,0.3418,7631
MOV10,6,0.3907,7367,0.3418,7630
CADM2,6,0.3907,7368,0.3418,7629
CDK5,6,0.3908,7369,0.3419,7635
XAGE5,6,0.3908,7370,0.342,7636
GBAS,6,0.3908,7371,0.342,7637
FAM86B1,6,0.3908,7372,0.3423,7643
ZNF143,6,0.3908,7373,0.3423,7649
TCTE1,6,0.3908,7374,0.3423,7644
TBCA,6,0.3908,7375,0.3423,7641
COBLL1,6,0.3908,7376,0.3423,7645
TBC1D3G,6,0.3908,7377,0.3423,7648
TBC1D3C,6,0.3909,7378,0.3423,7647
NonTargetingControlGuideForHuman_0875,2,0.3909,7379,0.1411,3213
TBC1D3B,6,0.3909,7380,0.3423,7646
TBC1D3,6,0.3909,7381,0.3423,7642
HTR5A,6,0.3909,7382,0.3423,7640
RTN1,6,0.3909,7383,0.3424,7650
PAQR9,6,0.391,7384,0.3424,7651
hsa-mir-4292,4,0.391,7385,0.2988,6667
SPTBN2,6,0.391,7386,0.3424,7653
RXRA,6,0.3911,7387,0.3424,7652
hsa-mir-6789,4,0.3911,7388,0.2988,6668
WBSCR16,6,0.3912,7389,0.3425,7654
TCIRG1,6,0.3913,7390,0.3426,7655
BSCL2,6,0.3913,7391,0.3426,7657
SEPW1,6,0.3913,7392,0.3426,7656
KIAA1841,6,0.3914,7393,0.3427,7663
NEUROG1,6,0.3914,7394,0.3427,7660
INSL6,6,0.3915,7395,0.3427,7664
UBP1,6,0.3915,7396,0.3427,7659
VPS51,6,0.3915,7397,0.3427,7658
CRNN,6,0.3915,7398,0.3427,7661
SERPINA6,6,0.3917,7399,0.3429,7665
WDR24,6,0.3918,7400,0.3429,7666
C11orf40,6,0.3918,7401,0.3429,7667
ARHGAP28,6,0.3918,7402,0.3429,7668
NonTargetingControlGuideForHuman_0640,2,0.3918,7403,0.1418,3228
LETM2,6,0.392,7404,0.3433,7672
IL1R1,6,0.392,7405,0.3433,7670
GTDC1,6,0.392,7406,0.3433,7673
ARL4D,6,0.392,7407,0.3433,7675
C3orf62,6,0.392,7408,0.3433,7671
hsa-mir-200b,4,0.392,7409,0.2999,6686
LGALS4,6,0.3921,7410,0.3434,7677
NEFH,6,0.3921,7411,0.3434,7676
NKAPL,6,0.3922,7412,0.3434,7679
C7orf63,6,0.3922,7413,0.3434,7678
NonTargetingControlGuideForHuman_0291,2,0.3922,7414,0.1418,3229
CDS2,6,0.3923,7415,0.3434,7681
NonTargetingControlGuideForHuman_0726,2,0.3924,7416,0.1419,3231
GCSAML,6,0.3924,7417,0.3435,7682
SH2D6,6,0.3924,7418,0.3436,7683
B3GALNT1,6,0.3925,7419,0.3438,7686
GPR35,6,0.3925,7420,0.3438,7685
WFS1,6,0.3925,7421,0.3439,7687
EIF4A1,6,0.3926,7422,0.3441,7688
INPP5F,6,0.3927,7423,0.3443,7697
C9orf170,6,0.3927,7424,0.3443,7695
LIN9,6,0.3927,7425,0.3443,7691
RABEPK,6,0.3928,7426,0.3443,7696
GDPD4,6,0.3928,7427,0.3443,7690
STOX2,6,0.3929,7428,0.3443,7689
DUSP10,6,0.3929,7429,0.3443,7693
IL12RB2,6,0.393,7430,0.3443,7692
MRPS22,6,0.3931,7431,0.3443,7694
KCNK6,6,0.3931,7432,0.3444,7698
HAO2,6,0.3932,7433,0.3445,7700
RPL17-C18orf32,6,0.3933,7434,0.345,7701
ADAMTS8,6,0.3934,7435,0.3451,7702
hsa-mir-1255b-2,4,0.3934,7436,0.3017,6724
KPNA3,6,0.3935,7437,0.3452,7706
FAM131C,6,0.3935,7438,0.3452,7704
AIMP1,6,0.3936,7439,0.3452,7705
GNRH1,6,0.3936,7440,0.3452,7703
hsa-mir-4429,4,0.3937,7441,0.3022,6732
SLFN13,6,0.3937,7442,0.3453,7707
NHSL1,6,0.3938,7443,0.3455,7711
hsa-mir-6895,4,0.3938,7444,0.3025,6746
OR2T3,6,0.3938,7445,0.3455,7713
LONP1,6,0.3938,7446,0.3455,7710
TRPC4AP,6,0.3939,7447,0.3455,7709
KIFC3,6,0.3939,7448,0.3455,7712
IL23R,6,0.394,7449,0.3457,7715
PTPN11,6,0.394,7450,0.3457,7716
STARD5,6,0.3941,7451,0.3458,7718
2019-09-14 00:00:00,6,0.3941,7452,0.3458,7717
PDCD2,6,0.3942,7453,0.346,7722
HPSE2,6,0.3942,7454,0.346,7721
GPR98,6,0.3942,7455,0.3461,7723
ZBTB41,6,0.3942,7456,0.3461,7724
STATH,6,0.3943,7457,0.3464,7728
OR11A1,6,0.3943,7458,0.3464,7730
TMEM175,6,0.3943,7459,0.3464,7729
RPS25,6,0.3943,7460,0.3464,7727
CCDC64,6,0.3944,7461,0.3465,7732
IL2RG,6,0.3944,7462,0.3465,7731
FAM72D,6,0.3944,7463,0.3465,7735
SF3B5,6,0.3944,7464,0.3465,7733
RBM7,6,0.3945,7465,0.3465,7734
ZNF132,6,0.3945,7466,0.3465,7736
TWISTNB,6,0.3945,7467,0.3466,7737
hsa-mir-4431,4,0.3945,7468,0.3032,6768
TADA3,6,0.3946,7469,0.3467,7741
PHYH,6,0.3946,7470,0.3467,7742
OCIAD1,6,0.3947,7471,0.3467,7739
SLC43A3,6,0.3947,7472,0.3467,7740
ETNK1,6,0.3947,7473,0.3468,7743
HFM1,6,0.3947,7474,0.347,7745
TMEM2,6,0.3948,7475,0.3471,7746
BCL2L12,6,0.395,7476,0.3471,7747
C19orf45,6,0.395,7477,0.3472,7749
NonTargetingControlGuideForHuman_0248,2,0.395,7478,0.1431,3258
CRK,6,0.395,7479,0.3474,7750
NonTargetingControlGuideForHuman_0131,2,0.3951,7480,0.1431,3257
OR2B3,6,0.3952,7481,0.3475,7756
TRMT1,6,0.3953,7482,0.3475,7754
hsa-mir-5693,3,0.3953,7483,0.2482,5562
SEMA4A,6,0.3953,7484,0.3475,7753
N4BP2L2,6,0.3953,7485,0.3475,7755
hsa-mir-6872,4,0.3953,7486,0.3041,6779
CD1D,6,0.3953,7487,0.3475,7757
ADIPOQ,6,0.3954,7488,0.3476,7758
YBX1,6,0.3954,7489,0.3478,7759
NUDT8,6,0.3955,7490,0.3479,7762
CLEC1B,6,0.3955,7491,0.3479,7764
ASF1A,6,0.3955,7492,0.3479,7761
FAAH2,6,0.3955,7493,0.3479,7763
CLDN2,6,0.3955,7494,0.348,7766
CCNO,6,0.3955,7495,0.3481,7772
PMS1,6,0.3955,7496,0.3481,7768
RAB40B,6,0.3956,7497,0.3481,7770
NonTargetingControlGuideForHuman_0192,2,0.3956,7498,0.1433,3259
RAB23,6,0.3957,7499,0.3481,7769
GFM2,6,0.3957,7500,0.3481,7771
FFAR3,6,0.3957,7501,0.3482,7774
hsa-mir-7151,4,0.3957,7502,0.3048,6799
hsa-mir-10a,4,0.3957,7503,0.3048,6798
IP6K3,6,0.3958,7504,0.3482,7776
ATG4D,6,0.3958,7505,0.3482,7773
ZCWPW1,6,0.3959,7506,0.3484,7777
TMEM138,6,0.396,7507,0.3486,7779
LRRN3,6,0.3961,7508,0.3486,7780
MCM6,6,0.3961,7509,0.3486,7778
S100G,6,0.3961,7510,0.3487,7781
EHD3,6,0.3961,7511,0.3487,7784
TGM5,6,0.3961,7512,0.3487,7782
EGR4,6,0.3961,7513,0.3487,7783
MDC1,6,0.3962,7514,0.3488,7785
hsa-mir-548t,4,0.3962,7515,0.305,6804
TENM3,6,0.3962,7516,0.3488,7786
NonTargetingControlGuideForHuman_0705,2,0.3962,7517,0.1439,3273
VSIG4,6,0.3963,7518,0.3492,7789
EXOSC2,6,0.3963,7519,0.3492,7790
FAM71A,6,0.3963,7520,0.3492,7791
OR52D1,6,0.3963,7521,0.3492,7788
MBD3L2,6,0.3963,7522,0.3493,7792
ACY1,6,0.3964,7523,0.3494,7793
PRMT7,6,0.3964,7524,0.3494,7794
CD1E,6,0.3964,7525,0.3495,7795
hsa-mir-10b,4,0.3965,7526,0.3055,6809
DLEC1,6,0.3966,7527,0.3496,7796
MLC1,6,0.3966,7528,0.3497,7798
PLA2G2D,6,0.3967,7529,0.3497,7797
FKBP11,6,0.3969,7530,0.35,7801
NSMCE2,6,0.3969,7531,0.35,7800
NACC2,6,0.397,7532,0.3502,7804
SLC25A40,6,0.397,7533,0.3502,7803
PRKCE,6,0.397,7534,0.3502,7805
COMMD3-BMI1,6,0.3971,7535,0.3503,7806
FNIP1,6,0.3971,7536,0.3503,7807
hsa-mir-6744,4,0.3972,7537,0.3063,6834
NonTargetingControlGuideForHuman_0141,2,0.3972,7538,0.1447,3296
TECRL,6,0.3972,7539,0.3505,7809
NonTargetingControlGuideForHuman_0310,2,0.3972,7540,0.1448,3297
HN1L,6,0.3972,7541,0.3505,7810
GIGYF1,6,0.3972,7542,0.3505,7808
hsa-mir-1302-8,4,0.3973,7543,0.3064,6836
ABCB5,6,0.3973,7544,0.3507,7813
RTCB,6,0.3975,7545,0.3507,7812
SHB,6,0.3975,7546,0.3508,7816
DSG4,6,0.3975,7547,0.3508,7815
XKRX,6,0.3975,7548,0.3508,7814
ATP5G3,6,0.3976,7549,0.3509,7817
WNT10B,6,0.3976,7550,0.3509,7818
AK2,6,0.3976,7551,0.3509,7819
CD86,6,0.3977,7552,0.351,7822
FAM222B,6,0.3977,7553,0.351,7820
CNPY3,6,0.3977,7554,0.351,7821
KLHL32,6,0.3978,7555,0.3511,7823
IL1RL1,6,0.3979,7556,0.3512,7824
TAF7L,6,0.3979,7557,0.3513,7828
RGPD6,6,0.3979,7558,0.3513,7826
RCOR3,6,0.3979,7559,0.3513,7827
PGLYRP3,6,0.3979,7560,0.3514,7833
NOVA2,6,0.398,7561,0.3514,7835
THOC1,5,0.398,7562,0.3368,7537
SERPINA7,6,0.398,7563,0.3514,7829
KRTAP10-10,6,0.398,7564,0.3514,7831
ZCCHC5,6,0.398,7565,0.3514,7834
LOXL4,6,0.3981,7566,0.3514,7830
PFDN4,6,0.3981,7567,0.3514,7832
SEMA3F,6,0.3981,7568,0.3517,7836
TRPC4,6,0.3983,7569,0.352,7842
TMEM52,6,0.3983,7570,0.352,7843
NonTargetingControlGuideForHuman_0645,2,0.3984,7571,0.1454,3310
ARRDC1,6,0.3984,7572,0.3521,7845
CCL25,6,0.3984,7573,0.3521,7846
NDUFB3,6,0.3984,7574,0.3521,7848
hsa-mir-4449,4,0.3985,7575,0.3075,6859
SMC6,6,0.3985,7576,0.3521,7847
OR2D3,6,0.3985,7577,0.3522,7850
SETMAR,6,0.3985,7578,0.3522,7852
EXOC3,6,0.3985,7579,0.3522,7849
SETDB2,6,0.3985,7580,0.3522,7851
NonTargetingControlGuideForHuman_0999,2,0.3986,7581,0.1455,3315
KCNH8,6,0.3986,7582,0.3523,7853
PPM1G,6,0.3986,7583,0.3523,7854
SPAG4,6,0.3986,7584,0.3523,7855
COLQ,6,0.3987,7585,0.3525,7856
NAT9,6,0.3987,7586,0.3526,7861
NonTargetingControlGuideForHuman_0314,2,0.3987,7587,0.1456,3318
TMEM9B,6,0.3987,7588,0.3526,7859
SLC27A6,6,0.3988,7589,0.3527,7862
BIRC8,6,0.3989,7590,0.3528,7866
ZNF211,6,0.3989,7591,0.3528,7865
ACTR3B,6,0.3989,7592,0.3528,7863
TMEM184C,6,0.399,7593,0.3528,7864
FAM35A,6,0.3992,7594,0.3529,7867
SMN1,6,0.3992,7595,0.3529,7869
hsa-mir-596,4,0.3992,7596,0.3078,6866
METTL23,6,0.3992,7597,0.3529,7868
KRT77,6,0.3993,7598,0.3532,7871
CTU2,6,0.3995,7599,0.3533,7872
CST3,6,0.3995,7600,0.3534,7874
ALAS2,6,0.3996,7601,0.3534,7873
hsa-mir-203a,4,0.3996,7602,0.3086,6884
NonTargetingControlGuideForHuman_0524,2,0.3996,7603,0.1466,3331
ZFP91,6,0.3996,7604,0.3538,7875
AVPI1,6,0.3997,7605,0.3539,7876
FAM81A,6,0.3997,7606,0.3539,7877
ADAM17,6,0.3998,7607,0.354,7878
hsa-mir-182,4,0.3999,7608,0.309,6897
C1orf177,6,0.3999,7609,0.3541,7879
hsa-mir-4302,4,0.3999,7610,0.3092,6903
PPP2R5E,6,0.4,7611,0.3542,7881
PTPN18,6,0.4,7612,0.3542,7882
SPATA32,6,0.4,7613,0.3543,7887
RAB1B,6,0.4,7614,0.3543,7884
MRPL24,6,0.4,7615,0.3543,7886
GPR75-ASB3,6,0.4,7616,0.3543,7888
KCNS1,6,0.4001,7617,0.3543,7883
