id,pos|score,pos|p-value,pos|fdr,pos|rank,pos|goodsgrna,pos|lfc
TIMMDC1,0.021654,0.06865,0.895782,1446,1,-2.6607
KCNAB3,0.021665,0.068679,0.895782,1447,4,1.3867
NAT16,0.021665,0.068682,0.895782,1448,4,3.18
GSDMD,0.021674,0.068705,0.895782,1449,4,2.9888
NIPAL2,0.021675,0.068711,0.895782,1450,4,2.7293
COQ7,0.021677,0.068713,0.895782,1451,4,1.7901
CERS6,0.021706,0.068805,0.895782,1452,2,-0.006327
C8orf89,0.021721,0.068853,0.895782,1453,4,2.6429
SCML1,0.021724,0.068857,0.895782,1454,4,1.0082
VAX1,0.021739,0.068907,0.895782,1455,4,1.5556
DHX32,0.021766,0.06898,0.895782,1456,4,1.698
ALDH3B2,0.021796,0.06907,0.895782,1457,4,0.87307
SPANXB1,0.021802,0.069085,0.895782,1458,4,0.66372
ZNF300,0.02181,0.069106,0.895782,1459,3,1.4087
TMEM132C,0.021811,0.06911,0.895782,1460,4,0.64959
RELB,0.021835,0.069175,0.895782,1461,4,2.365
KCNK2,0.021843,0.069192,0.895782,1462,3,3.2717
ARHGAP33,0.021858,0.069237,0.895782,1463,3,3.4979
IL5RA,0.021862,0.069249,0.895782,1464,1,-0.46078
CBLN4,0.021875,0.06927,0.895782,1465,2,2.2184
CCND2,0.021878,0.069278,0.895782,1466,3,3.3201
CADM4,0.021914,0.069386,0.896575,1467,3,2.8906
CD302,0.021958,0.069507,0.896871,1468,3,2.5057
ZNF346,0.021966,0.069525,0.896871,1469,2,-0.69074
FAM126A,0.021985,0.069587,0.896871,1470,4,1.1847
SPNS2,0.021989,0.069597,0.896871,1471,3,3.0123
SYTL4,0.02202,0.069688,0.897405,1472,3,3.196
C1RL,0.022069,0.069832,0.897405,1473,3,1.8761
GPR3,0.022086,0.069879,0.897405,1474,3,2.566
RAD23A,0.022097,0.069915,0.897405,1475,4,1.3569
KCTD7,0.02213,0.070015,0.897405,1476,3,3.6242
ULK2,0.022192,0.070196,0.897405,1477,3,3.4578
SLC35A5,0.022225,0.070303,0.897405,1478,2,0.24234
S100A7L2,0.022277,0.070455,0.897405,1479,2,0.0162
GSG1L,0.022291,0.070495,0.897405,1480,4,2.4546
NKX6-3,0.022301,0.070517,0.897405,1481,3,4.2383
PEX14,0.022315,0.070561,0.897405,1482,3,2.093
PKIG,0.022351,0.070666,0.897405,1483,4,2.9846
FAM43A,0.022368,0.070709,0.897405,1484,2,2.2947
RASD1,0.022381,0.070755,0.897405,1485,3,2.6903
LRRC17,0.022391,0.070781,0.897405,1486,3,2.7617
IGFBP1,0.022396,0.070796,0.897405,1487,3,2.9389
MAF1,0.0224,0.070809,0.897405,1488,3,3.6689
GLI4,0.022433,0.07089,0.897405,1489,2,1.1446
GPR137C,0.022439,0.070908,0.897405,1490,2,2.3915
SFRP5,0.022448,0.070936,0.897405,1491,3,3.5418
UBE2L3,0.022485,0.071049,0.897405,1492,3,0.13875
ZIC1,0.022522,0.071151,0.897405,1493,3,3.1317
KCNMB1,0.022524,0.071158,0.897405,1494,4,2.111
SLC6A18,0.022536,0.071191,0.897405,1495,4,1.3505
KLHDC7A,0.022537,0.071191,0.897405,1496,2,-0.026151
PLEKHH1,0.022537,0.071191,0.897405,1497,2,1.7471
PDE4B,0.022544,0.071213,0.897405,1498,4,2.9848
COMMD10,0.022563,0.071273,0.897405,1499,2,1.5781
PTAR1,0.022571,0.057823,0.881515,1500,2,5.891
APBA1,0.022589,0.071347,0.897405,1501,2,0.57688
LOC403312,0.022599,0.071387,0.897405,1502,3,2.5703
LGALSL,0.022634,0.071479,0.897405,1503,3,2.0734
POC1B,0.022636,0.057984,0.881515,1504,2,4.3965
AQP12A,0.02264,0.071503,0.897405,1505,2,-0.0019265
C8orf44-SGK3,0.022644,0.071511,0.897405,1506,4,1.5135
CDY1,0.022653,0.071533,0.897405,1507,4,2.8308
SLC45A1,0.02267,0.071578,0.897405,1508,2,2.7188
CXorf51B,0.022692,0.071627,0.897405,1509,1,-0.42958
SPATA8,0.022706,0.071672,0.897405,1510,2,0.99612
CD207,0.022743,0.071778,0.897405,1511,3,2.6579
ARFGEF1,0.022744,0.071779,0.897405,1512,2,-0.59203
GNE,0.022786,0.071903,0.897405,1513,3,2.8244
AGRP,0.022793,0.071925,0.897405,1514,3,2.614
ANKS1A,0.022796,0.071934,0.897405,1515,2,1.5372
RASSF1,0.022804,0.071956,0.897405,1516,3,3.0758
PDGFD,0.022848,0.072087,0.897405,1517,1,-0.47376
RGS2,0.022873,0.072158,0.897405,1518,4,1.8289
SEPTIN8,0.022875,0.072167,0.897405,1519,3,2.5388
WFDC9,0.022879,0.072178,0.897405,1520,3,3.8162
TSPAN9,0.0229,0.072232,0.897405,1521,2,0.69831
NOL4,0.022911,0.07227,0.897405,1522,3,3.389
KCNS3,0.022952,0.072375,0.897405,1523,2,-0.78922
ZC3HAV1L,0.022966,0.072418,0.897405,1524,3,2.6769
RABL3,0.022982,0.072465,0.897405,1525,4,2.5514
PEX11A,0.022984,0.072474,0.897405,1526,4,3.0298
MRFAP1L1,0.023004,0.072527,0.897405,1527,2,0.20115
MORN1,0.023016000000000002,0.072558,0.897405,1528,4,1.4112
GPR157,0.023056,0.072666,0.897405,1529,3,1.7017
PAMR1,0.023082,0.07274,0.897405,1530,4,2.954
KEL,0.023107,0.072814,0.897405,1531,2,0.43668
XDH,0.023108,0.072815,0.897405,1532,3,2.5513
CXXC1,0.023135,0.0729,0.897405,1533,3,2.6032
NAAA,0.023135,0.072901,0.897405,1534,2,1.7965
ORMDL3,0.023159,0.07298,0.897405,1535,2,0.19022
AMER2,0.023171,0.073017,0.897405,1536,2,1.2018
PSMD9,0.023181,0.073041,0.897405,1537,3,3.4634
COL4A3,0.023182,0.073043,0.897405,1538,4,1.6748
INSL3,0.023191,0.073078,0.897405,1539,4,4.0207
UBQLN1,0.023211,0.073141,0.897405,1540,2,0.20683
ALDH3B1,0.023263,0.073275,0.897405,1541,2,0.33203
KIAA1586,0.023273,0.073299,0.897405,1542,4,1.7206
SLC22A24,0.02328,0.073318,0.897405,1543,4,2.9847
CDY2A,0.023289,0.073348,0.897405,1544,4,0.91739
C11orf24,0.023292,0.073359,0.897405,1545,4,0.9609
NGEF,0.023305,0.073397,0.897405,1546,3,2.86
OMG,0.023314,0.073421,0.897405,1547,4,1.6494
SMYD2,0.023315,0.073426,0.897405,1548,1,-1.83
MAGEA2,0.023324,0.073447,0.897405,1549,3,2.9811
ACY3,0.023325,0.07345,0.897405,1550,3,3.04
C7orf72,0.023337,0.073486,0.897405,1551,3,2.4459
C14orf119,0.023361,0.073553,0.897405,1552,3,3.9538
TRIM13,0.023367,0.073574,0.897405,1553,2,0.38013
BRWD1,0.02337,0.073585,0.897405,1554,3,2.9715
ARHGAP15,0.023415,0.073715,0.897405,1555,4,1.6433
REXO1,0.023416,0.073717,0.897405,1556,3,3.6665
STX12,0.023425,0.073742,0.897405,1557,3,2.6079
TLX3,0.023434,0.073764,0.897405,1558,3,2.6691
CT47A8,0.023435,0.059895,0.885742,1559,1,-1.6306
RNF182,0.023443,0.073786,0.897405,1560,4,1.8954
CCDC42B,0.02346,0.073832,0.897405,1561,2,1.9107
ZNF831,0.023471,0.073864,0.897405,1562,2,0.43229
TGM2,0.023505,0.073965,0.897599,1563,4,2.8763
GDF2,0.023513,0.060086,0.885742,1564,1,-1.1705
GPATCH2L,0.023522,0.074017,0.897599,1565,4,0.92824
OR8G2,0.023542,0.074079,0.897599,1566,3,2.7311
HIVEP1,0.023555,0.074119,0.897599,1567,3,2.6076
SMG8,0.023574,0.074182,0.897599,1568,3,1.4395
AOC3,0.023601,0.074258,0.897599,1569,3,3.2874
FBXO18,0.023624,0.074325,0.897599,1570,4,0.81631
HIST1H3B,0.023626,0.074331,0.897599,1571,2,2.3095
HSD17B14,0.023666,0.074448,0.897599,1572,3,2.498
TMEM52B,0.023678,0.074488,0.897599,1573,2,-0.32842
RHBDF2,0.02368,0.074492,0.897599,1574,3,3.1219
TOPORS,0.023687,0.07451,0.897599,1575,2,2.5764
HOXA4,0.023689,0.07452,0.897599,1576,4,3.6566
ZNF417,0.02373,0.074635,0.897973,1577,2,1.6916
MTA2,0.023782,0.074772,0.897973,1578,2,0.79507
CCDC126,0.023796,0.074808,0.897973,1579,4,3.0392
ETV5,0.023801,0.074817,0.897973,1580,3,3.1127
GMDS,0.02381,0.074846,0.897973,1581,3,3.5664
TRIM33,0.023814,0.074851,0.897973,1582,3,2.7561
CD320,0.02385,0.074958,0.89869,1583,3,3.2558
DDX60L,0.023867,0.075004,0.89869,1584,4,1.1381
SLA2,0.023909,0.075126,0.899585,1585,3,2.7251
TMEM165,0.023937,0.075215,0.899872,1586,2,2.0204
MSRB1,0.023947,0.075244,0.899872,1587,4,0.96939
ITGAE,0.023987,0.075355,0.900121,1588,3,3.2795
CNTN6,0.023989,0.075359,0.900121,1589,2,1.7105
SUPT3H,0.024002,0.061272,0.887932,1590,3,1.5924
CLDN17,0.024034,0.075484,0.900752,1591,4,1.1179
TSPEAR,0.024041,0.075507,0.900752,1592,1,-0.52825
HIST1H2AG,0.024045,0.061384,0.887932,1593,3,0.89903
ZNF503,0.024068,0.075589,0.901172,1594,4,3.0922
MGAT1,0.024093,0.075658,0.901431,1595,2,-0.24528
R3HDM1,0.024134,0.075774,0.901714,1596,4,1.5667
KRTAP19-7,0.024145,0.075807,0.901714,1597,1,-1.0151
PIGP,0.024152,0.07583,0.901714,1598,2,2.7838
CACNB4,0.024167,0.07587,0.901714,1599,3,4.4573
KIR2DL4,0.024177,0.061681,0.888222,1600,2,4.6314
ZNF317,0.024197,0.075959,0.901867,1601,4,1.0985
CDK2AP2,0.024248,0.076099,0.901867,1602,1,-2.498
TMEM259,0.02426,0.076134,0.901867,1603,4,0.86142
LIMD2,0.0243,0.07624,0.901867,1604,3,2.8916
DCBLD2,0.024313,0.076268,0.901867,1605,3,2.3229
SLC17A4,0.024337,0.076346,0.901867,1606,3,2.8776
CASP2,0.024338,0.076348,0.901867,1607,4,2.6397
ZNF766,0.024352,0.076381,0.901867,1608,2,-0.21826
ZNF3,0.024371,0.076433,0.901867,1609,4,1.0162
AVPR1B,0.024404,0.076522,0.901867,1610,3,0.81333
PANK4,0.024409,0.076543,0.901867,1611,2,1.0911
TMC1,0.024436,0.076613,0.901867,1612,4,1.7419
SCGB1D2,0.024456,0.076663,0.901867,1613,4,1.3176
CSNK1G1,0.024456,0.076663,0.901867,1614,2,0.39206
HIP1,0.024488,0.076746,0.901867,1615,4,1.5011
TNFAIP8L1,0.024501,0.076777,0.901867,1616,2,2.7265
ZNF285,0.024503,0.076781,0.901867,1617,3,3.7293
TANC2,0.024512,0.076819,0.901867,1618,3,2.4873
UPP2,0.024557,0.076941,0.901867,1619,3,3.3743
ADH1B,0.024559,0.076948,0.901867,1620,3,3.0923
SLC24A5,0.02456,0.076949,0.901867,1621,4,2.6081
GOLT1A,0.024598,0.077064,0.901867,1622,3,2.8584
NT5DC1,0.024611,0.077098,0.901867,1623,2,2.2735
ANKRD9,0.024621,0.077132,0.901867,1624,2,2.6508
TSPAN7,0.024632,0.077166,0.901867,1625,4,0.95738
LRRC14B,0.024636,0.077173,0.901867,1626,4,3.1775
NRGN,0.024646,0.077196,0.901867,1627,4,2.0341
KRTAP10-5,0.024688,0.077309,0.901867,1628,3,2.3562
OR1I1,0.024688,0.077309,0.901867,1629,4,1.9722
GALNT8,0.024698,0.07734,0.901867,1630,3,2.8974
OR7D2,0.024736,0.077449,0.901867,1631,4,2.4824
BEGAIN,0.024741,0.077459,0.901867,1632,3,2.4027
IDO1,0.02475,0.077491,0.901867,1633,3,2.2248
PIM1,0.024761,0.077522,0.901867,1634,4,0.7894
C4BPA,0.024765,0.077535,0.901867,1635,3,2.7938
CACNG6,0.024807,0.077649,0.902604,1636,2,2.2302
PRPF3,0.02487,0.077835,0.902604,1637,3,0.59089
SCYL1,0.024909,0.077959,0.902604,1638,4,1.9424
SLC4A7,0.024909,0.077959,0.902604,1639,4,1.6117
ROM1,0.024922,0.077997,0.902604,1640,3,1.78
OR11A1,0.024927,0.078011,0.902604,1641,2,2.4574
RPSA,0.024928,0.045958,0.860975,1642,2,5.2155
TACC2,0.024947,0.078073,0.902604,1643,3,2.6977
FAM72C,0.024996,0.063638,0.891049,1644,2,5.81
ISM1,0.025,0.078205,0.902604,1645,4,1.8662
CEBPZ,0.025026,0.078284,0.902604,1646,3,2.465
ZCCHC5,0.025077,0.078439,0.902604,1647,2,0.2505
SLC26A8,0.025082,0.078449,0.902604,1648,3,3.0866
BPI,0.025129,0.078591,0.902604,1649,2,0.76687
ABLIM3,0.025139,0.078614,0.902604,1650,4,1.2512
TTC14,0.025145,0.078633,0.902604,1651,4,1.2959
NAT14,0.025168,0.078701,0.902604,1652,3,2.0291
GBA2,0.025172,0.078708,0.902604,1653,4,0.72528
SAMD9,0.025173,0.078714,0.902604,1654,3,2.9333
RAB8B,0.025181,0.078735,0.902604,1655,1,-2.4924
VAPB,0.025222,0.07884,0.902604,1656,4,1.033
LRRN1,0.025231,0.078876,0.902604,1657,3,3.337
C9orf106,0.025235,0.078886,0.902604,1658,4,2.6202
GJC1,0.025251,0.078923,0.902604,1659,3,3.3103
NT5M,0.025265,0.078967,0.902604,1660,3,2.8261
ITGB3,0.025272,0.078992,0.902604,1661,4,0.80428
RBAK-RBAKDN,0.025285,0.079016,0.902604,1662,2,2.1357
KIR3DL3,0.025286,0.07902,0.902604,1663,4,1.1084
SLC25A47,0.025289,0.079036,0.902604,1664,3,2.8218
CDC42EP3,0.025336,0.079168,0.902604,1665,4,0.90255
SCGB2A1,0.025336,0.079169,0.902604,1666,2,0.1855
NAP1L5,0.025348,0.079199,0.902604,1667,3,3.7253
KDM4E,0.025375,0.07927,0.902604,1668,3,3.0738
ITGA10,0.025381,0.079283,0.902604,1669,3,2.5781
ITGA1,0.025401,0.079337,0.902604,1670,3,3.1737
GNAO1,0.025403,0.079341,0.902604,1671,4,1.1798
FRK,0.025422,0.079398,0.902604,1672,2,2.2842
IQCA1L,0.02543,0.079417,0.902604,1673,4,3.1717
TPD52L2,0.02544,0.079452,0.902604,1674,2,-1.292
RHOXF2,0.025492,0.079579,0.902604,1675,1,-2.4379
CNOT8,0.025494,0.079587,0.902604,1676,4,2.5446
NCOA1,0.025572,0.079794,0.902604,1677,3,3.5556
DERL1,0.025581,0.07982,0.902604,1678,4,1.3276
EPHB1,0.025591,0.079848,0.902604,1679,4,2.3291
KRT19,0.025591,0.07985,0.902604,1680,4,2.895
CDH11,0.025602,0.079877,0.902604,1681,4,2.2512
C19orf45,0.025605,0.079886,0.902604,1682,3,3.1217
INSRR,0.025615,0.079911,0.902604,1683,3,3.7418
TMEM140,0.025638,0.079989,0.902604,1684,2,2.5768
OLFML3,0.025647,0.080016,0.902604,1685,2,0.29827
MBOAT1,0.025657,0.080045,0.902604,1686,2,2.7501
OR52W1,0.025673,0.080081,0.902604,1687,4,0.89884
CDH6,0.02568,0.080101,0.902604,1688,4,0.87246
CLDN10,0.025751,0.080306,0.903767,1689,1,-0.16506
TNFAIP2,0.025752,0.080311,0.903767,1690,3,3.3563
CIB2,0.025786,0.080398,0.903767,1691,3,4.2115
PLA2G4B,0.025789,0.080404,0.903767,1692,2,2.9736
GALNT11,0.025802,0.080447,0.903767,1693,2,2.3457
ABCB1,0.025815,0.08049,0.903767,1694,4,2.4876
CREB3L4,0.025846,0.080576,0.903767,1695,4,1.6307
SLC10A2,0.025874,0.080649,0.903767,1696,3,4.5318
C4orf29,0.025877,0.080659,0.903767,1697,4,0.93963
THEG5,0.025883,0.080677,0.903767,1698,4,0.57084
SLC16A14,0.025931,0.080827,0.904914,1699,2,2.5373
CCDC40,0.025958,0.080897,0.905151,1700,2,1.9292
NENF,0.025998,0.081004,0.905151,1701,3,2.5737
JAKMIP2,0.026035,0.081093,0.905151,1702,2,1.841
LPO,0.026061,0.081166,0.905151,1703,2,-0.083294
EPS8L3,0.026072,0.08119,0.905151,1704,3,3.1893
CDX4,0.026087,0.081234,0.905151,1705,3,2.2916
CARKD,0.026111,0.081286,0.905151,1706,2,2.3493
DNALI1,0.026113,0.081295,0.905151,1707,3,2.4832
ATCAY,0.026126,0.081322,0.905151,1708,4,3.0782
DUSP28,0.026158,0.081421,0.905263,1709,2,2.1652
CA13,0.026174,0.081466,0.905263,1710,4,0.58231
SMIM18,0.026188,0.081495,0.905263,1711,4,1.8422
FUCA1,0.026217,0.081594,0.905263,1712,2,0.70715
MFAP3,0.026225,0.081614,0.905263,1713,3,3.1763
KLHL42,0.026225,0.081616,0.905263,1714,3,3.118
OR13H1,0.026301,0.081827,0.905345,1715,2,1.0732
SFT2D2,0.02631,0.081851,0.905345,1716,2,1.0823
SERTAD2,0.02632,0.081878,0.905345,1717,3,2.2936
SEPTIN14,0.026333,0.081906,0.905345,1718,4,1.0196
AKR1A1,0.026339,0.081922,0.905345,1719,3,2.8163
TSHZ1,0.026368,0.081998,0.905345,1720,3,2.9131
DOCK2,0.026372,0.082008,0.905345,1721,1,-0.1212
PHACTR4,0.026409,0.082113,0.905345,1722,3,2.3245
ZFYVE26,0.026424,0.082151,0.905345,1723,1,0.16825
APAF1,0.026426,0.082156,0.905345,1724,4,0.8837
TMED1,0.026453,0.082227,0.905345,1725,3,2.564
DEFA3,0.026474,0.082272,0.905345,1726,3,2.4066
VASH2,0.026475,0.082278,0.905345,1727,2,0.36701
ZBTB46,0.02652,0.082388,0.905345,1728,3,2.9796
OPRL1,0.02653,0.082415,0.905345,1729,4,1.1241
CPEB1,0.026579,0.082569,0.905345,1730,1,-0.59177
ZBTB1,0.026587,0.082591,0.905345,1731,3,2.9699
KRTAP12-2,0.026597,0.082614,0.905345,1732,3,2.5443
OR5K2,0.026606,0.082645,0.905345,1733,2,2.112
ZNF286A,0.026631,0.082709,0.905345,1734,2,-0.17126
SPATS1,0.026643,0.082747,0.905345,1735,4,3.2229
RWDD1,0.026682,0.082851,0.905345,1736,3,3.2139
DOK2,0.026686,0.082866,0.905345,1737,4,3.1416
ZFAND2A,0.026709,0.082928,0.905345,1738,3,2.1151
GRM8,0.026714,0.082941,0.905345,1739,3,2.7957
MESDC2,0.026721,0.082961,0.905345,1740,3,2.8061
LOC101927572,0.026728,0.082981,0.905345,1741,4,1.799
ASB15,0.026739,0.083007,0.905345,1742,3,2.6929
ITIH4,0.026786,0.083132,0.905345,1743,3,0.51651
SLC12A2,0.026802,0.083182,0.905345,1744,4,1.2259
C6orf47,0.026825,0.067935,0.895782,1745,3,6.1861
TGFBR3L,0.026836,0.083279,0.905345,1746,2,2.1816
FOLH1B,0.026838,0.08328,0.905345,1747,3,0.81562
HPCAL1,0.026839,0.083282,0.905345,1748,3,3.0826
PMP2,0.026844,0.083298,0.905345,1749,4,0.98811
MAP3K5,0.026875,0.083385,0.905345,1750,3,3.459
COL16A1,0.026879,0.083392,0.905345,1751,4,1.0976
OR2A4,0.026879,0.083395,0.905345,1752,3,3.5629
MTCP1,0.026889,0.083424,0.905345,1753,1,-0.76008
RAI14,0.026942,0.083563,0.905927,1754,4,0.98528
MSI1,0.026962,0.083617,0.905927,1755,4,3.058
IVL,0.02697,0.083637,0.905927,1756,4,1.7786
ZNF473,0.026993,0.08369,0.905927,1757,2,1.2068
FER1L5,0.027005,0.083714,0.905927,1758,3,2.3233
LDOC1,0.02702,0.068403,0.895782,1759,3,1.5844
CDH3,0.027048,0.083837,0.906215,1760,2,2.3244
RBM12B,0.027087,0.083935,0.906215,1761,2,2.6428
ORAI3,0.027107,0.083993,0.906215,1762,4,2.118
STKLD1,0.027125,0.084048,0.906215,1763,3,2.2378
CRYBB3,0.027135,0.084078,0.906215,1764,2,1.5647
HMGCS2,0.027146,0.084112,0.906215,1765,4,1.9482
TK2,0.027148,0.084117,0.906215,1766,3,1.4242
MAK,0.027157,0.084145,0.906215,1767,4,1.7387
PLEK2,0.027177,0.084206,0.906215,1768,3,2.0838
ANKRD30B,0.027222,0.084335,0.906215,1769,2,2.1875
CFAP69,0.027279,0.084493,0.906215,1770,3,3.4415
SPARCL1,0.027303,0.084553,0.906215,1771,2,-0.27701
HSD11B2,0.027309,0.084566,0.906215,1772,3,3.284
OR4L1,0.027309,0.084566,0.906215,1773,3,2.2552
HMGCL,0.027312,0.084573,0.906215,1774,4,2.1528
DDIT4L,0.027319,0.084587,0.906215,1775,3,2.8719
SEMA3A,0.027326,0.084602,0.906215,1776,4,1.4361
PSME1,0.02733,0.08462,0.906215,1777,4,1.2969
MEF2D,0.02735,0.084677,0.906215,1778,3,3.0608
TMEM167B,0.027355,0.084689,0.906215,1779,1,0.0066806
GTPBP2,0.027406,0.084835,0.907262,1780,1,-1.1385
IFNE,0.027444,0.084937,0.907683,1781,4,1.7004
VWA5B2,0.027458,0.084979,0.907683,1782,3,0.95915
ANXA5,0.027477,0.085031,0.907683,1783,3,2.3526
PACS2,0.027494,0.085077,0.907683,1784,4,0.79657
KBTBD4,0.027544,0.085219,0.907683,1785,4,1.1782
HK3,0.027552,0.085245,0.907683,1786,3,3.2975
SHE,0.027562,0.085267,0.907683,1787,2,0.38394
GABRQ,0.027613,0.085414,0.907683,1788,2,0.16402
C1orf86,0.027622,0.085439,0.907683,1789,4,3.0741
GLTSCR1,0.027649,0.08551,0.907683,1790,4,3.3335
OTOP1,0.027665,0.085556,0.907683,1791,1,-0.69674
ACTB,0.027682,0.085599,0.907683,1792,3,2.5789
CTRL,0.027688,0.085616,0.907683,1793,3,2.3946
CD200R1L,0.02769,0.085619,0.907683,1794,4,1.3861
COL22A1,0.027717,0.08569,0.907683,1795,1,-0.81599
KLKB1,0.027733,0.085731,0.907683,1796,4,1.0866
CYR61,0.027759,0.085797,0.907683,1797,3,3.1054
FAM91A1,0.027768,0.085824,0.907683,1798,2,0.38655
BPIFB3,0.02782,0.085968,0.908703,1799,3,0.44325
GUCD1,0.027859,0.086082,0.9094,1800,4,0.66736
TMPRSS7,0.027902,0.086195,0.910101,1801,3,3.778
GAS2,0.027959,0.086352,0.911156,1802,3,2.8986
GKN2,0.027975,0.086391,0.911156,1803,2,0.82027
FGF16,0.028011,0.086486,0.9112,1804,4,0.9267
HLF,0.028027,0.086535,0.9112,1805,2,1.5586
MCCD1,0.028059,0.086604,0.9112,1806,2,2.2919
CORO1B,0.028079,0.086673,0.9112,1807,4,0.45445
ZCCHC18,0.028108,0.086753,0.9112,1808,3,3.2344
TSPYL6,0.028109,0.086755,0.9112,1809,3,2.3202
GBP2,0.028126,0.086799,0.9112,1810,4,1.0722
MAP3K8,0.02813,0.086809,0.9112,1811,1,-0.33549
MMD2,0.028156,0.086863,0.9112,1812,3,2.0097
PTGIR,0.028166,0.08689,0.9112,1813,3,3.2648
DEFA4,0.028221,0.087023,0.9112,1814,4,0.69467
C14orf177,0.028223,0.087028,0.9112,1815,3,2.3978
XPO7,0.028236,0.087058,0.9112,1816,2,1.7964
BSN,0.028255,0.087114,0.9112,1817,3,3.0489
MLXIPL,0.028285,0.087195,0.9112,1818,3,2.662
CFAP126,0.028312,0.087269,0.9112,1819,4,2.1135
BLNK,0.028314,0.087274,0.9112,1820,3,3.5474
SGPP1,0.028337,0.087344,0.9112,1821,3,1.1497
KIAA2013,0.028337,0.087345,0.9112,1822,3,2.4594
CYP1A2,0.028389,0.087498,0.9112,1823,3,3.339
GLCE,0.028433,0.087636,0.9112,1824,2,1.8965
SPINK9,0.02844,0.08766,0.9112,1825,1,-0.74458
C10orf107,0.028454,0.087697,0.9112,1826,4,1.9518
ZNF468,0.028492,0.08778,0.9112,1827,2,-0.41108
DOC2B,0.028509,0.087835,0.9112,1828,3,2.4942
OLFM4,0.028514,0.087851,0.9112,1829,3,2.3971
KRTAP3-2,0.028516,0.08786,0.9112,1830,4,0.75591
APOM,0.028544,0.087927,0.9112,1831,4,2.8731
RPH3AL,0.028571,0.087998,0.9112,1832,2,1.7084
NBPF3,0.028595,0.088065,0.9112,1833,2,-0.060719
PPARGC1A,0.028603,0.088087,0.9112,1834,3,3.1108
ZNF496,0.028613,0.088117,0.9112,1835,3,2.3669
BMP6,0.028623,0.088148,0.9112,1836,4,0.72258
GPX6,0.028649,0.088228,0.9112,1837,4,0.99181
ALDH1A3,0.028676,0.08831,0.9112,1838,3,2.4381
PLA2G2D,0.028699,0.088366,0.9112,1839,3,2.4267
OR4S1,0.028729,0.088443,0.9112,1840,3,2.2143
SCAF1,0.02875,0.088506,0.9112,1841,3,0.45315
KCNJ16,0.028796,0.088642,0.9112,1842,4,0.7489
MRPS11,0.028802,0.088656,0.9112,1843,2,0.58434
GDI2,0.028818,0.088709,0.9112,1844,3,2.9492
TRNAU1AP,0.028826,0.08872,0.9112,1845,4,1.9469
OPALIN,0.028854,0.088798,0.9112,1846,1,-0.39075
USP16,0.028886,0.088882,0.9112,1847,3,2.6718
NLRC4,0.028892,0.088895,0.9112,1848,3,2.5908
OR13G1,0.028905,0.08893,0.9112,1849,2,-0.23955
GRAMD1C,0.028927,0.088995,0.9112,1850,3,2.956
RARRES2,0.028933,0.089009,0.9112,1851,4,2.195
CDON,0.028936,0.089019,0.9112,1852,4,1.1715
IL17A,0.028939,0.089025,0.9112,1853,3,2.2685
CCK,0.028944,0.089037,0.9112,1854,4,2.5144
C5orf52,0.028949,0.089046,0.9112,1855,3,3.0248
C7orf62,0.028957,0.089069,0.9112,1856,3,0.9362
STARD6,0.029011,0.089221,0.9112,1857,4,0.70954
PCSK6,0.029013,0.089225,0.9112,1858,3,2.3078
KLHL34,0.029027,0.089258,0.9112,1859,3,2.9276
MTMR6,0.02906,0.089342,0.9112,1860,3,1.41
MT1HL1,0.029063,0.089352,0.9112,1861,4,1.4546
MAPKAP1,0.029077,0.089397,0.9112,1862,3,3.3006
IZUMO3,0.029077,0.089399,0.9112,1863,4,1.4832
PRR20E,0.029107,0.089485,0.91121,1864,4,1.7716
ELF3,0.029112,0.089495,0.91121,1865,1,-0.6864
CD14,0.029163,0.089635,0.911561,1866,3,1.113
FAM21A,0.029182,0.089685,0.911561,1867,4,1.5241
KRTAP16-1,0.029208,0.089762,0.911561,1868,3,2.3441
LRWD1,0.029212,0.089771,0.911561,1869,4,1.5676
MAGEB18,0.029226,0.089817,0.911561,1870,3,2.4221
TEX2,0.029236,0.089844,0.911561,1871,4,3.0679
APH1B,0.029245,0.089863,0.911561,1872,4,2.1648
APBA2,0.029283,0.089965,0.911853,1873,4,3.5889
PHLPP2,0.029296,0.089999,0.911853,1874,2,1.215
RBM26,0.029318,0.090067,0.911853,1875,2,1.5108
IQGAP2,0.029324,0.090083,0.911853,1876,4,0.8731
HSPA4L,0.029365,0.090185,0.912303,1877,4,2.0363
PHF21B,0.029378,0.090223,0.912303,1878,3,1.9
SNX27,0.029422,0.090331,0.912462,1879,3,3.116
NPHP1,0.029506,0.090553,0.912462,1880,2,2.8067
FSHB,0.029522,0.090599,0.912462,1881,3,2.2827
RNF169,0.029525,0.090608,0.912462,1882,2,2.4597
ADAM8,0.029526,0.090616,0.912462,1883,4,1.5562
SH2B2,0.029536,0.090643,0.912462,1884,2,2.4471
RABEP1,0.029564,0.090716,0.912462,1885,4,0.77886
SERPINF1,0.029575,0.09075,0.912462,1886,4,1.0551
ANKRD20A3,0.029576,0.090753,0.912462,1887,2,0.11628
ASPDH,0.029618,0.090856,0.912462,1888,4,1.7568
ZNF34,0.029639,0.090916,0.912462,1889,4,2.1647
TNKS1BP1,0.029654,0.090965,0.912462,1890,4,0.89595
SOX30,0.029657,0.090973,0.912462,1891,2,2.4857
FOXC1,0.029662,0.090991,0.912462,1892,4,0.57119
LOC728392,0.02968,0.091036,0.912462,1893,3,1.8663
