id,negative selection score,negative selection p-value,negative selection rank
PET117,0.038892,0.092671,1646
PITPNB,0.038906,0.092705,1647
SYNRG,0.038932,0.092754,1648
PSMC1,0.038955,0.092803,1649
OR1G1,0.038958,0.09281,1650
APOL1,0.038972,0.092844,1651
FABP4,0.039032,0.092976,1652
MPDZ,0.039062,0.093033,1653
DNAJC5G,0.039072,0.093059,1654
LYN,0.039096,0.093102,1655
P2RX6,0.039114,0.093132,1656
CMTM4,0.039119,0.093143,1657
CATSPER2,0.039143,0.093181,1658
IAH1,0.039144,0.093183,1659
FCGR2A,0.039178,0.093259,1660
RAB2B,0.039217,0.093336,1661
CCDC94,0.03926,0.093419,1662
CD1A,0.039264,0.093427,1663
PRR5,0.039269,0.093438,1664
FZD2,0.039296,0.093486,1665
CCT8,0.039317,0.093534,1666
MS4A3,0.039321,0.093539,1667
CLIC2,0.039366,0.093627,1668
C6orf48,0.039373,0.093636,1669
CCBE1,0.039424,0.093754,1670
AHCTF1,0.039425,0.093755,1671
SIPA1,0.039425,0.093758,1672
STAMBPL1,0.039437,0.093777,1673
MARK4,0.039441,0.093787,1674
AHR,0.039484,0.093873,1675
PEBP4,0.039498,0.093893,1676
ADAM21,0.03958,0.094052,1677
IL1RN,0.039591,0.094076,1678
EXOC3,0.039632,0.094159,1679
ARNT,0.039705,0.09431,1680
CTAGE6,0.039723,0.076736,1681
MTM1,0.039735,0.094364,1682
RIC8A,0.039765,0.094434,1683
CALCB,0.039768,0.094443,1684
FAM78B,0.039787,0.094485,1685
CSNK1G2,0.039803,0.094521,1686
MRC2,0.039806,0.094526,1687
NPDC1,0.039815,0.094552,1688
TSSC1,0.039826,0.094571,1689
MED31,0.039839,0.0946,1690
ZNF667,0.039891,0.094704,1691
PXMP4,0.039913,0.094765,1692
ST13,0.039942,0.094822,1693
MAN1A2,0.039994,0.094916,1694
LPAR3,0.040028,0.094991,1695
SUN3,0.040076,0.095092,1696
DNAH10,0.040098,0.09513,1697
OLFML2A,0.040102,0.095134,1698
hsa-let-7a-1,0.040104,0.077317,1699
PAIP1,0.040149,0.095225,1700
H2BFWT,0.040159,0.095243,1701
MAPRE2,0.040201,0.095331,1702
SAYSD1,0.040253,0.095439,1703
ARNTL,0.04026,0.095452,1704
TTC33,0.040305,0.095558,1705
GOLGA4,0.040311,0.095569,1706
HERPUD1,0.040325,0.095592,1707
CRYBA4,0.040348,0.095637,1708
ATP12A,0.040349,0.095638,1709
SLC4A7,0.040356,0.095651,1710
ANKRD34A,0.040365,0.09567,1711
HACL1,0.040408,0.095755,1712
KCNJ13,0.040419,0.095774,1713
EIF5B,0.040439,0.095811,1714
RALGPS2,0.04046,0.095851,1715
RCHY1,0.040563,0.096069,1716
AKR1B15,0.040615,0.09617,1717
CHD2,0.040663,0.096267,1718
C2orf57,0.040667,0.096277,1719
LSM1,0.040697,0.096343,1720
EGFL7,0.040718,0.096386,1721
ERAL1,0.040738,0.096425,1722
PLXNC1,0.04077,0.096498,1723
PODXL,0.040819,0.096587,1724
ING1,0.040822,0.096592,1725
IPO5,0.040826,0.096599,1726
ITLN1,0.04085,0.09666,1727
GCM1,0.040874,0.096708,1728
CCR3,0.040886,0.096735,1729
KLF7,0.04091,0.096786,1730
HESX1,0.040926,0.096824,1731
NOS1AP,0.04099,0.09696,1732
SIX1,0.041051,0.097088,1733
EFHC1,0.041077,0.097139,1734
RAD23A,0.041099,0.097179,1735
RGS3,0.04112,0.097233,1736
GPRC5C,0.041132,0.097255,1737
GTF2H1,0.041137,0.09727,1738
2019-09-11 00:00:00,0.041161,0.09732,1739
KLHL29,0.041184,0.097365,1740
PLXND1,0.041188,0.097374,1741
BCL11B,0.041222,0.097439,1742
NLRP7,0.041236,0.097461,1743
TULP1,0.041245,0.097482,1744
STRN4,0.041257,0.097507,1745
THAP7,0.041288,0.097565,1746
PCDHB4,0.041339,0.097673,1747
BTBD8,0.041387,0.097766,1748
CDHR3,0.0414,0.097797,1749
LOXL3,0.041407,0.097809,1750
ADCYAP1R1,0.041428,0.097845,1751
MAGOHB,0.041494,0.097989,1752
ALX4,0.041524,0.098051,1753
ARHGAP31,0.041546,0.098089,1754
SNAP23,0.041598,0.098192,1755
NGEF,0.0416,0.098197,1756
MAT2B,0.04163,0.098258,1757
RNF220,0.041666,0.098324,1758
LRRC29,0.041675,0.098348,1759
PGRMC1,0.041696,0.09839,1760
S100A9,0.041701,0.098399,1761
NKAP,0.041714,0.098421,1762
GABRQ,0.041806,0.098607,1763
AP3M2,0.041823,0.098641,1764
ZFR2,0.041834,0.098664,1765
HAS2,0.041856,0.098712,1766
ZNF550,0.041908,0.098827,1767
WDR90,0.041908,0.098828,1768
PLXDC2,0.04192,0.098856,1769
GALK1,0.04196,0.098937,1770
TCF21,0.042,0.099025,1771
AQP5,0.042029,0.099083,1772
SMOC1,0.042063,0.099167,1773
SFTPD,0.042101,0.099246,1774
HLA-A,0.042115,0.099283,1775
ATP6V1B1,0.04215,0.099342,1776
MVB12A,0.042166,0.099373,1777
PRDX4,0.042218,0.099485,1778
ADAM17,0.04227,0.099586,1779
FATE1,0.042298,0.09964,1780
TMEM200C,0.042321,0.099689,1781
SKIL,0.042344,0.09973,1782
PDRG1,0.042373,0.099785,1783
DYRK1B,0.042409,0.099859,1784
NMRK1,0.042425,0.099897,1785
ATAD3C,0.042429,0.099905,1786
OTUD3,0.042476,0.10001,1787
PLBD2,0.042479,0.10002,1788
GNPDA2,0.042526,0.10011,1789
SERPIND1,0.042528,0.10011,1790
AK2,0.042541,0.10014,1791
SNAP47,0.042552,0.10015,1792
ING4,0.042574,0.1002,1793
MS4A15,0.04258,0.10021,1794
IGFL4,0.042631,0.1003,1795
ZNRF2,0.042632,0.1003,1796
C2orf69,0.042683,0.10043,1797
TBC1D14,0.042708,0.10049,1798
MIP,0.042734,0.10053,1799
QSOX2,0.042745,0.10055,1800
COPZ1,0.042751,0.10057,1801
CRB3,0.042779,0.10062,1802
MILR1,0.042786,0.10063,1803
C6orf203,0.042793,0.10065,1804
IQGAP1,0.042806,0.10068,1805
MAFF,0.042842,0.10075,1806
KCNIP1,0.042889,0.10084,1807
UMOD,0.042903,0.10088,1808
MRPS14,0.042905,0.10088,1809
UQCRC2,0.042941,0.10096,1810
PTHLH,0.042952,0.10098,1811
MAGEA10-MAGEA5,0.042993,0.10105,1812
ZMAT1,0.04301,0.10109,1813
GRAMD4,0.043044,0.10115,1814
HAND1,0.043045,0.10115,1815
ATF6B,0.043066,0.10119,1816
TMEM185A,0.043073,0.10121,1817
ITM2C,0.043074,0.10121,1818
CHCHD4,0.043099,0.10125,1819
ENO1,0.043123,0.1013,1820
MOV10L1,0.043148,0.10135,1821
SRC,0.043157,0.10137,1822
MIIP,0.043185,0.10143,1823
PELI2,0.043199,0.10147,1824
FAM89A,0.043221,0.10151,1825
ZCCHC24,0.043251,0.10157,1826
C9orf3,0.043302,0.10166,1827
BAD,0.043326,0.1017,1828
MTMR3,0.043331,0.10171,1829
CYBRD1,0.04334,0.10172,1830
CNOT10,0.043425,0.10189,1831
XIRP2,0.043429,0.1019,1832
WDR33,0.043495,0.10204,1833
LMAN1L,0.043509,0.10207,1834
TCTN3,0.043509,0.10207,1835
OR9A2,0.043527,0.1021,1836
MSH3,0.04356,0.10218,1837
SP3,0.043577,0.10221,1838
CILP,0.043612,0.10228,1839
FBXO24,0.043622,0.1023,1840
STPG2,0.043644,0.10234,1841
HN1L,0.04365,0.10236,1842
DGKE,0.043664,0.10239,1843
CXorf21,0.043672,0.10241,1844
ZNF564,0.043675,0.10241,1845
ASZ1,0.043699,0.10245,1846
CCNB2,0.043767,0.10259,1847
KLHL4,0.043792,0.10265,1848
TTK,0.043818,0.10269,1849
NNMT,0.043822,0.1027,1850
TMEM219,0.043835,0.10272,1851
HOOK1,0.043909,0.10288,1852
ENDOG,0.043946,0.10295,1853
GRIK2,0.043973,0.10301,1854
MMP1,0.043998,0.10307,1855
VEZT,0.044012,0.1031,1856
ACO2,0.044025,0.10312,1857
CD19,0.04409,0.10324,1858
MIA,0.044112,0.10329,1859
CNOT2,0.044128,0.10332,1860
STARD9,0.044155,0.10339,1861
LSM12,0.04418,0.10344,1862
LMAN1,0.044183,0.10345,1863
SCN5A,0.044229,0.10355,1864
CCDC102A,0.044231,0.10355,1865
IMMT,0.044261,0.10361,1866
TUFM,0.044293,0.10367,1867
DLGAP3,0.044311,0.10371,1868
ICMT,0.044318,0.10372,1869
MGMT,0.044334,0.10376,1870
CCL24,0.044386,0.10386,1871
SKAP1,0.044415,0.10391,1872
OLIG2,0.044427,0.10394,1873
HYAL1,0.044452,0.10399,1874
RHOXF2,0.044464,0.10402,1875
BAK1,0.044489,0.10407,1876
RRP9,0.044561,0.10422,1877
BRE,0.044563,0.10422,1878
CAPZB,0.044576,0.10425,1879
RLN3,0.044588,0.10428,1880
CCNT1,0.044592,0.10429,1881
LAPTM4B,0.044618,0.10434,1882
PI16,0.044644,0.10439,1883
FBXO7,0.044695,0.10448,1884
CASP5,0.044704,0.1045,1885
SMYD1,0.044733,0.10456,1886
METTL4,0.044747,0.1046,1887
DDX27,0.044798,0.1047,1888
TACC1,0.044812,0.10473,1889
CLDN5,0.044819,0.10474,1890
LRR1,0.04485,0.10481,1891
NAV2,0.044901,0.10492,1892
XCL1,0.044961,0.10503,1893
FEZF2,0.044973,0.10505,1894
SHISA8,0.045005,0.1051,1895
FAM5C,0.045006,0.080267,1896
NRBP1,0.04501,0.10511,1897
KCTD17,0.045027,0.10514,1898
PLEKHB2,0.045098,0.10528,1899
ATP2A1,0.045108,0.10531,1900
UCMA,0.04516,0.10542,1901
CTCF,0.045193,0.1055,1902
CAT,0.04521,0.10552,1903
IDS,0.045222,0.10554,1904
FBXL5,0.045247,0.1056,1905
TPP2,0.045262,0.10563,1906
CDC42BPG,0.045314,0.10572,1907
HMGB4,0.045365,0.10582,1908
STX2,0.045381,0.10584,1909
CCDC127,0.045384,0.10585,1910
NLRP1,0.045388,0.10585,1911
FLYWCH1,0.045409,0.10589,1912
ICAM1,0.045417,0.10591,1913
TXNRD2,0.045431,0.10594,1914
GABARAPL1,0.045468,0.10602,1915
OR51I2,0.045489,0.10605,1916
RPE65,0.045504,0.10609,1917
LDHC,0.045518,0.10612,1918
ING5,0.045571,0.10622,1919
MYADML2,0.045576,0.10623,1920
DLGAP1,0.045597,0.10627,1921
PGAM1,0.045623,0.10632,1922
LOC149373,0.045641,0.10635,1923
NAGLU,0.045656,0.10639,1924
DEGS1,0.045672,0.10642,1925
LETM1,0.045674,0.10642,1926
RNF149,0.045674,0.10642,1927
GPM6B,0.045707,0.10649,1928
GMFB,0.045714,0.097598,1929
RASGEF1B,0.045726,0.10653,1930
CRCT1,0.045736,0.10654,1931
CLINT1,0.045777,0.10663,1932
FAM186B,0.045797,0.10667,1933
C10orf12,0.045829,0.10673,1934
GOLGA6L6,0.045835,0.065392,1935
ITGB1BP2,0.045845,0.10675,1936
UGDH,0.04588,0.10683,1937
IDH2,0.04591,0.1069,1938
GOLPH3L,0.045932,0.10694,1939
COL25A1,0.045941,0.10697,1940
MRPL23,0.045946,0.10698,1941
CC2D2B,0.045983,0.10705,1942
CACNA2D3,0.045985,0.10706,1943
SPN,0.046035,0.10717,1944
GRID2IP,0.046086,0.10727,1945
GJB4,0.046092,0.10728,1946
C13orf35,0.046189,0.10748,1947
C1orf204,0.046241,0.10757,1948
RTP3,0.046249,0.10759,1949
PRRC2B,0.046292,0.10769,1950
TFEB,0.046348,0.10779,1951
PSAP,0.046375,0.10785,1952
PGR,0.046395,0.10789,1953
TSHR,0.046438,0.10797,1954
TEX12,0.046446,0.10799,1955
SLC41A3,0.046457,0.10801,1956
ARHGAP11A,0.046514,0.10812,1957
SUB1,0.046516,0.10812,1958
PDIK1L,0.04655,0.1082,1959
PCK1,0.046601,0.10831,1960
NRD1,0.046602,0.10831,1961
C22orf15,0.046633,0.10837,1962
FILIP1,0.046653,0.10841,1963
C1orf185,0.04667,0.10845,1964
GNA12,0.046704,0.10851,1965
C17orf66,0.046751,0.10862,1966
TRAPPC3,0.046756,0.10863,1967
COLQ,0.046791,0.1087,1968
CARTPT,0.046795,0.1087,1969
LSM11,0.046867,0.10885,1970
SNRPN,0.046883,0.10889,1971
RPRML,0.046893,0.1089,1972
OR8B3,0.046905,0.10893,1973
GALNT7,0.04691,0.10894,1974
TMPRSS2,0.046913,0.10894,1975
TMEM251,0.046943,0.109,1976
HELZ2,0.046961,0.10904,1977
FAM207A,0.047008,0.10915,1978
ITPRIPL2,0.047023,0.10918,1979
OR5D14,0.047057,0.10924,1980
KCNIP2,0.047116,0.10935,1981
NOS3,0.047134,0.10938,1982
MLF2,0.047167,0.10945,1983
CDC25B,0.047219,0.10956,1984
XAGE5,0.047267,0.10966,1985
MLANA,0.047279,0.10968,1986
B3GNT2,0.047311,0.10973,1987
SRPK2,0.0474,0.1099,1988
TSPYL2,0.047415,0.10993,1989
PKD2L2,0.047424,0.10995,1990
SLC26A3,0.047463,0.11003,1991
SLC34A3,0.047527,0.11015,1992
METTL11B,0.047527,0.11015,1993
NT5C2,0.047579,0.11025,1994
ADAM12,0.04763,0.11035,1995
SMOX,0.04763,0.11035,1996
RUNX2,0.047667,0.11042,1997
FAM228A,0.047704,0.1105,1998
COG2,0.047718,0.11053,1999
GYS2,0.047719,0.11053,2000
UTP15,0.047781,0.11066,2001
KRTAP10-5,0.047831,0.11077,2002
ZNF540,0.047887,0.11088,2003
C11orf21,0.04789,0.11088,2004
FCGR3B,0.047939,0.11099,2005
TAS2R50,0.047946,0.11101,2006
NR2F6,0.047947,0.11102,2007
PABPC1L2A,0.047973,0.11107,2008
IFLTD1,0.04799,0.1111,2009
PSMA3,0.04801,0.11114,2010
IP6K2,0.048024,0.11117,2011
BPIFB3,0.048039,0.1112,2012
TNFSF11,0.048041,0.11121,2013
DNER,0.048075,0.11127,2014
IQCH,0.048077,0.11128,2015
PLK3,0.048099,0.11132,2016
PXMP2,0.048144,0.1114,2017
PEG3,0.048196,0.11152,2018
ZSWIM3,0.048247,0.11162,2019
OSMR,0.048254,0.11164,2020
MEF2A,0.04828,0.11168,2021
OR10J3,0.048298,0.11172,2022
LY6G5B,0.04835,0.11183,2023
USP18,0.048401,0.11195,2024
SEMA3B,0.048453,0.11207,2025
WBSCR27,0.048459,0.11208,2026
ADAMDEC1,0.048485,0.11214,2027
XYLT1,0.048496,0.11216,2028
PANX1,0.048497,0.11216,2029
AVP,0.048504,0.11218,2030
ARL14EP,0.048548,0.11227,2031
TYMP,0.048607,0.11238,2032
SLC16A12,0.04871,0.11257,2033
CLN3,0.048736,0.11262,2034
FAM189B,0.048761,0.11267,2035
DHX34,0.048774,0.1127,2036
LRRIQ3,0.04878,0.11271,2037
AHCYL1,0.048841,0.11282,2038
PLEKHD1,0.048857,0.11285,2039
NSD1,0.048864,0.11287,2040
KIAA0430,0.04887,0.11288,2041
ARID2,0.048915,0.11297,2042
CHERP,0.048921,0.11298,2043
LRIG1,0.048973,0.11309,2044
NAA25,0.048988,0.11313,2045
GPR148,0.04905,0.11326,2046
STYXL1,0.049069,0.11329,2047
MBD2,0.049083,0.11332,2048
CCDC129,0.04912,0.11339,2049
PCSK1,0.049158,0.11348,2050
TTN,0.049172,0.1135,2051
ABCB5,0.049205,0.11356,2052
C2orf78,0.049223,0.11359,2053
RPS29,0.049244,0.11364,2054
AP1S2,0.049347,0.11382,2055
CLPB,0.049377,0.11388,2056
SF3B1,0.049429,0.11397,2057
ACSL6,0.049431,0.11397,2058
COMMD3,0.049454,0.11402,2059
LOC100127983,0.04948,0.11407,2060
C17orf98,0.049484,0.11408,2061
HTR1D,0.049489,0.1141,2062
PALD1,0.049502,0.11412,2063
SLC39A13,0.049579,0.11426,2064
NR2E1,0.049583,0.11427,2065
NRK,0.049613,0.11434,2066
CXCL1,0.049634,0.11438,2067
OR2T11,0.049674,0.11446,2068
AATK,0.049685,0.11448,2069
MYO1E,0.049737,0.11458,2070
MAD2L1BP,0.049757,0.11462,2071
PTCH2,0.049788,0.11468,2072
CEP19,0.049793,0.11469,2073
CRYAA,0.049818,0.11475,2074
ZNF256,0.049826,0.11477,2075
FAM219B,0.049849,0.11482,2076
APBB1,0.049891,0.11491,2077
HCN3,0.049942,0.115,2078
ZNF620,0.049994,0.1151,2079
PLCD3,0.050009,0.11514,2080
MYCT1,0.05002,0.11516,2081
FAM200B,0.050045,0.1152,2082
TBCK,0.050085,0.11529,2083
OSR2,0.050111,0.11534,2084
MAMDC2,0.050147,0.11541,2085
EPHA8,0.05015,0.11541,2086
C6orf141,0.050192,0.1155,2087
DLG3,0.050215,0.11554,2088
TAX1BP1,0.050223,0.11556,2089
LTV1,0.05025,0.11562,2090
TGS1,0.050287,0.1157,2091
APOL3,0.050301,0.11573,2092
HMOX2,0.050352,0.11584,2093
SREBF2,0.050364,0.11586,2094
MYO18A,0.050404,0.11593,2095
DSCR3,0.05041,0.11595,2096
SETD2,0.050414,0.11595,2097
ST3GAL2,0.050475,0.11609,2098
EID2B,0.050487,0.11611,2099
ABHD10,0.050558,0.11626,2100
SPINK7,0.050598,0.11634,2101
BRICD5,0.050606,0.11636,2102
FOSB,0.050609,0.11636,2103
LRP2,0.05066,0.11646,2104
SNW1,0.050729,0.11659,2105
CBR3,0.050763,0.11666,2106
ODF3L2,0.050783,0.1167,2107
C16orf95,0.050789,0.11671,2108
KRT71,0.050845,0.11683,2109
VCX2,0.050865,0.11687,2110
ZFYVE21,0.05088,0.11689,2111
CHMP4B,0.050906,0.11694,2112
NPHP4,0.050914,0.11696,2113
SLC25A5,0.050932,0.117,2114
MBOAT2,0.050968,0.11706,2115
CXorf64,0.050972,0.11707,2116
TRIM25,0.050985,0.11709,2117
NT5DC2,0.051011,0.11714,2118
CACNG3,0.051019,0.11716,2119
EVX1,0.051022,0.11716,2120
NR3C1,0.051063,0.11725,2121
CALB1,0.05107,0.11726,2122
KIAA0247,0.051076,0.11727,2123
MAP2K4,0.051099,0.11732,2124
C2orf68,0.051122,0.11739,2125
CHGB,0.051122,0.11739,2126
HIST1H4A,0.051142,0.11743,2127
PCDHB7,0.051145,0.11744,2128
CYSTM1,0.051173,0.1175,2129
SLC51B,0.051224,0.11759,2130
C17orf58,0.051273,0.11769,2131
USP36,0.051277,0.11769,2132
KNTC1,0.051308,0.11775,2133
EGR3,0.051312,0.11776,2134
C10orf120,0.051365,0.11787,2135
TMX3,0.051378,0.1179,2136
REPS2,0.051385,0.11791,2137
FPR2,0.051459,0.11805,2138
PSMB1,0.05148,0.11809,2139
CRIPAK,0.051496,0.11814,2140
FSTL5,0.051532,0.11821,2141
FPGS,0.051588,0.11831,2142
GRM8,0.051649,0.11845,2143
SLC6A15,0.051685,0.11852,2144
GPR119,0.051726,0.1186,2145
PPP1R16A,0.051734,0.11862,2146
SLC16A13,0.051737,0.11863,2147
PLEK,0.051781,0.11872,2148
HYOU1,0.051788,0.11874,2149
SRRM1,0.051789,0.11874,2150
PCSK2,0.051812,0.11878,2151
PDCD1LG2,0.051838,0.11883,2152
ABCA12,0.051839,0.11883,2153
CDKN2B,0.051875,0.11892,2154
CLCN4,0.05189,0.11896,2155
DYNC1H1,0.051917,0.119,2156
STYK1,0.051921,0.11901,2157
TMEM64,0.051942,0.11905,2158
CSNK1A1L,0.051993,0.11916,2159
TSPAN32,0.052036,0.11924,2160
EXD1,0.052095,0.11936,2161
ADRBK1,0.052132,0.11943,2162
VPS13C,0.052147,0.11946,2163
C19orf26,0.052171,0.1195,2164
DCLRE1B,0.052194,0.11955,2165
2019-09-09 00:00:00,0.052198,0.11956,2166
ARPC5L,0.052207,0.11958,2167
GPR21,0.052247,0.11967,2168
MOGAT1,0.052249,0.11967,2169
CHD9,0.0523,0.11976,2170
SPC24,0.052351,0.11986,2171
SH2D3C,0.052392,0.11995,2172
ASPHD1,0.052403,0.11997,2173
IFI16,0.052405,0.11998,2174
TTF2,0.052406,0.11998,2175
NDUFA8,0.052419,0.12,2176
RIC3,0.052437,0.12003,2177
ZDHHC7,0.052468,0.12009,2178
RAB11FIP5,0.052505,0.12019,2179
MEGF6,0.052531,0.12024,2180
DIDO1,0.052551,0.12028,2181
GPHN,0.052657,0.12049,2182
HNRNPUL2,0.052704,0.12058,2183
COMP,0.05271,0.12059,2184
HMGXB3,0.052763,0.12069,2185
CCL22,0.052863,0.12088,2186
NFU1,0.052915,0.12098,2187
GOLGA6L10,0.052959,0.10748,2188
HOXA13,0.052966,0.12109,2189
EFHD1,0.052979,0.12112,2190
SGK2,0.053017,0.12119,2191
GNB1,0.053018,0.1212,2192
PRAMEF2,0.053095,0.12136,2193
CLEC18B,0.053098,0.096606,2194
KIN,0.053148,0.12148,2195
POU4F2,0.05317,0.12152,2196
GNG8,0.053188,0.12156,2197
AP3S2,0.053208,0.1216,2198
ICOSLG,0.053255,0.12169,2199
SSBP2,0.053324,0.12184,2200
DCX,0.053366,0.12192,2201
SPATA2,0.053375,0.12194,2202
UBA5,0.053375,0.12194,2203
RPL13A,0.053401,0.12199,2204
TMEM63B,0.053405,0.12201,2205
NIPAL2,0.053426,0.12205,2206
SFMBT1,0.053441,0.12207,2207
TCF4,0.053461,0.12212,2208
HNRNPL,0.053461,0.12212,2209
ANK3,0.053477,0.12214,2210
KIF1A,0.053508,0.1222,2211
NEUROG1,0.05358,0.12234,2212
PFDN5,0.05358,0.12234,2213
SLC22A31,0.053603,0.12238,2214
TNFRSF11B,0.053611,0.1224,2215
AICDA,0.053623,0.12243,2216
CAP1,0.053631,0.12244,2217
BMI1,0.053635,0.12245,2218
SPANXD,0.053641,0.097454,2219
PLTP,0.053707,0.1226,2220
AMZ1,0.053708,0.1226,2221
RPS11,0.053733,0.12266,2222
ZBTB10,0.053754,0.1227,2223
PLSCR4,0.053802,0.1228,2224
P2RX1,0.053836,0.12287,2225
SLAIN1,0.053887,0.12298,2226
EIF2B2,0.053889,0.12299,2227
TMEM43,0.053938,0.12309,2228
ZNF880,0.053945,0.1231,2229
SIVA1,0.053975,0.12316,2230
HCLS1,0.053989,0.12318,2231
TMEM158,0.054009,0.12322,2232
RXRA,0.054025,0.12326,2233
TAL2,0.05404,0.12328,2234
ALDH1L2,0.054088,0.12339,2235
ASCL3,0.054091,0.12339,2236
HSBP1L1,0.05415,0.1235,2237
RBBP5,0.054192,0.12359,2238
MUC17,0.054232,0.12368,2239
NKX1-2,0.054245,0.12371,2240
MUC21,0.054296,0.1238,2241
PCBD2,0.054347,0.12389,2242
TMED6,0.054351,0.1239,2243
BGLAP,0.054364,0.12394,2244
DNAL1,0.054402,0.095486,2245
ORMDL2,0.054449,0.12411,2246
XRCC6BP1,0.054464,0.12414,2247
PHF16,0.054485,0.12417,2248
GTF2F1,0.054496,0.12419,2249
OR5L1,0.0545,0.1242,2250
KLHL32,0.054551,0.1243,2251
CCDC172,0.054552,0.1243,2252
FBXL16,0.054579,0.12435,2253
FOXP1,0.054606,0.12441,2254
CRTAC1,0.054616,0.12443,2255
LOC154872,0.054633,0.12446,2256
TOMM70A,0.054648,0.12449,2257
DEFB112,0.054705,0.1246,2258
FADS1,0.054756,0.12472,2259
NOP2,0.054807,0.12482,2260
RAB33B,0.05484,0.12489,2261
TOM1,0.054858,0.12493,2262
CAMK2B,0.054909,0.12504,2263
ENTPD3,0.054915,0.12505,2264
OR7C1,0.05496,0.12514,2265
LOC440335,0.055062,0.12536,2266
hsa-let-7g,0.055069,0.099596,2267
COCH,0.055082,0.1254,2268
NHLRC3,0.055113,0.12547,2269
CSPG5,0.05515,0.12555,2270
RABGAP1,0.055164,0.12557,2271
TMEM214,0.055199,0.12564,2272
KLHL7,0.055216,0.12568,2273
ATRAID,0.055251,0.12575,2274
PLD3,0.055267,0.12578,2275
CRNN,0.055354,0.12596,2276
FRAT1,0.055369,0.12599,2277
KCNJ18,0.055397,0.10006,2278
XPNPEP2,0.055471,0.12619,2279
TRIM49,0.055522,0.1263,2280
CEBPZ,0.055573,0.1264,2281
RABGEF1,0.055618,0.12649,2282
MGAT1,0.055645,0.12654,2283
RAB40C,0.055675,0.12659,2284
ELOVL3,0.055726,0.12669,2285
EXOC3L4,0.055767,0.12677,2286
GABRR1,0.055777,0.12679,2287
LRP5,0.055781,0.12679,2288
SNX14,0.055821,0.12687,2289
PYCR2,0.055828,0.12689,2290
KCMF1,0.055862,0.12695,2291
PRADC1,0.055879,0.12699,2292
MYLK2,0.055947,0.12713,2293
TM9SF4,0.055955,0.12714,2294
JDP2,0.055957,0.12715,2295
RNF34,0.055971,0.12718,2296
CD248,0.055982,0.1272,2297
SLC22A7,0.056033,0.12732,2298
ABHD13,0.056065,0.12738,2299
ANKHD1-EIF4EBP3,0.056079,0.10108,2300
TBC1D23,0.056084,0.12741,2301
APOA1BP,0.05612,0.12748,2302
CGB2,0.056122,0.074199,2303
RPF2,0.056133,0.11188,2304
C10orf71,0.056186,0.12761,2305
SRPK3,0.056188,0.12761,2306
ING2,0.056219,0.12767,2307
IGDCC4,0.056231,0.12769,2308
BLM,0.056237,0.1277,2309
OR8U1,0.056288,0.1278,2310
TMEM255A,0.056296,0.12782,2311
DLGAP2,0.056394,0.12802,2312
XKR4,0.056406,0.12804,2313
RCAN1,0.056446,0.12812,2314
ACOT8,0.056487,0.1282,2315
EIF5A,0.056492,0.12822,2316
CABIN1,0.056514,0.12827,2317
CA14,0.056569,0.12838,2318
TBRG4,0.056596,0.12843,2319
DHRS2,0.056645,0.12853,2320
SEC14L3,0.056647,0.12853,2321
HIST1H4L,0.056671,0.12858,2322
ZNF282,0.056696,0.12863,2323
JAM2,0.056746,0.12874,2324
COL4A6,0.056747,0.12874,2325
CDK11B,0.056774,0.1288,2326
CNPY4,0.056803,0.12885,2327
ZMYM3,0.056836,0.12891,2328
AP1S3,0.056849,0.12894,2329
XRCC1,0.0569,0.12903,2330
LOC100505478,0.056951,0.12915,2331
C1orf226,0.056975,0.1292,2332
CYP2S1,0.057002,0.12926,2333
KCNS1,0.057006,0.12927,2334
RTN4RL2,0.057041,0.12933,2335
PTK2B,0.057053,0.12935,2336
TPST1,0.057061,0.12936,2337
PRAMEF12,0.057074,0.12939,2338
GPX5,0.057104,0.12945,2339
GINS4,0.057109,0.12945,2340
THAP4,0.057109,0.12945,2341
HSF1,0.05717,0.12957,2342
CCDC3,0.057206,0.12963,2343
BMF,0.057211,0.12965,2344
FASTKD2,0.057308,0.12984,2345
LCNL1,0.057359,0.12995,2346
SLC24A6,0.057378,0.12998,2347
SULT2B1,0.057444,0.1301,2348
METTL21A,0.057461,0.13014,2349
FANK1,0.057614,0.13044,2350
PRND,0.057641,0.13049,2351
TNIP1,0.05765,0.13052,2352
PHF6,0.057665,0.13054,2353
ZFP62,0.057674,0.13056,2354
GABRG2,0.057691,0.1306,2355
KLK4,0.057716,0.13065,2356
SAFB2,0.057746,0.13072,2357
PAQR6,0.05776,0.13074,2358
KIAA1919,0.057773,0.13076,2359
INHBE,0.057815,0.13086,2360
C19orf35,0.057818,0.13086,2361
SPANXC,0.057838,0.057793,2362
RPF1,0.057864,0.13095,2363
RETNLB,0.05787,0.13096,2364
NRIP2,0.05792,0.13107,2365
C2CD4A,0.058005,0.13125,2366
MMRN2,0.058022,0.13129,2367
CAPZA2,0.058104,0.13145,2368
SMLR1,0.058105,0.13145,2369
FCAR,0.058124,0.13149,2370
NKX2-5,0.058154,0.13156,2371
VAT1L,0.058159,0.13157,2372
KIAA1430,0.058174,0.13159,2373
C15orf59,0.058187,0.13163,2374
TMOD4,0.058225,0.1317,2375
UBL3,0.058237,0.13173,2376
ARHGEF40,0.058256,0.13176,2377
SLC13A1,0.058276,0.13181,2378
BLOC1S5,0.058327,0.13191,2379
