id,d7_chemo__d7_control||num,d7_chemo__d7_control||neg|p-value,d7_chemo__d7_control||neg|fdr,d7_chemo__d7_control||neg|rank,d7_chemo__d7_control||neg|goodsgrna,d7_chemo__d7_control||pos|p-value,d7_chemo__d7_control||pos|fdr,d7_chemo__d7_control||pos|rank,d7_chemo__d7_control||pos|goodsgrna,d7_chemo__d7_control||log2FoldChange
KIF26B,3,0.45879,0.996322,8918,1,0.16444,0.994322,3277,2,2.2196
RBM27,2,0.51634,0.996322,11940,1,0.33061,0.994322,7841,1,2.2193
LMAN1L,2,0.53078,0.996322,12184,1,0.31426,0.994322,7564,1,2.2187
ACAT2,3,0.7607,0.996322,16210,1,0.16961,0.994322,3411,2,2.2165
UPP2,3,0.71984,0.996322,15237,1,0.19757,0.994322,3911,2,2.2126
CD1C,3,0.46562,0.996322,9051,1,0.17105,0.994322,3442,2,2.2122
ZNF75D,3,0.17198,0.984333,3229,1,0.0041933,0.956958,78,2,2.2093
hsa-mir-5694,3,0.9765,0.998121,20905,0,0.060135,0.994322,1093,3,2.2086
RECQL4,3,0.99136,0.999276,21202,0,0.02343,0.972765,431,3,2.205
CCR3,3,0.70092,0.996322,14741,1,0.10763,0.994322,2015,2,2.2043
OR2T33,3,0.54113,0.996322,10525,1,0.16695,0.994322,3334,2,2.2018
KCNK16,3,0.8215,0.996322,17567,0,0.15588,0.994322,3067,2,2.201
MRPL43,1,0.79085,0.996322,16912,0,0.20919,0.994322,6133,1,2.2006
CDK19,3,0.90115,0.996322,19277,0,0.19381,0.994322,3850,2,2.1986
LSMEM1,2,0.57986,0.996322,13077,1,0.33164,0.994322,7871,1,2.1985
SPATA8,3,0.78871,0.996322,16856,1,0.16792,0.994322,3366,2,2.1975
CCZ1,3,0.59044,0.996322,11899,1,0.20183,0.994322,3976,2,2.1954
CALCB,3,0.78276,0.996322,16720,1,0.2011,0.994322,3969,2,2.1953
C17orf74,2,0.76635,0.996322,16409,0,0.34151,0.994322,8048,1,2.1952
ALCAM,3,0.50862,0.996322,9839,1,0.15395,0.994322,3020,2,2.1886
SYNPR,3,0.95965,0.997574,20535,0,0.20107,0.994322,3968,2,2.1886
LOC100129361,3,0.12909,0.976462,2416,1,0.1683,0.994322,3371,2,2.1881
TMED9,3,0.81689,0.996322,17471,0,0.089766,0.994322,1646,2,2.1865
hsa-mir-223,3,0.49707,0.996322,9617,1,0.20209,0.994322,3983,2,2.1863
TVP23A,2,0.50971,0.996322,11836,1,0.032439,0.972765,859,1,2.1844
NPSR1,3,0.60507,0.996322,12323,1,0.0089376,0.970617,156,2,2.1802
KLRF1,3,0.98918,0.99926,21155,0,0.02922,0.972765,526,3,2.1801
FBXO39,3,0.14957,0.98122,2792,1,0.17933,0.994322,3604,2,2.1789
DLGAP1,3,0.21599,0.987402,4203,1,0.1666,0.994322,3327,2,2.1771
TPTE2,2,0.53794,0.996322,12319,1,0.31747,0.994322,7609,1,2.1744
URGCP-MRPS24,1,0.7922,0.996322,16939,0,0.20785,0.994322,6101,1,2.1733
CD48,3,0.94342,0.996988,20223,0,0.19916,0.994322,3935,2,2.1716
STMN3,2,0.52444,0.996322,12079,1,0.19364,0.994322,4316,1,2.1704
SUDS3,3,0.80176,0.996322,17162,1,0.19948,0.994322,3943,2,2.1695
UBE2U,1,0.75381,0.996322,16137,0,0.24629,0.994322,6920,1,2.1678
ABCB4,3,0.40442,0.996322,7952,1,0.07537,0.994322,1351,2,2.1673
PAPL,3,0.95206,0.997574,20385,0,0.16519,0.994322,3294,2,2.1643
JRK,2,0.51019,0.996322,11840,1,0.22097,0.994322,5207,1,2.163
KCNJ1,3,0.9036,0.996322,19322,0,0.15317,0.994322,3001,2,2.1623
CCRN4L,3,0.84081,0.996322,17976,0,0.20428,0.994322,4024,2,2.1615
HIATL1,1,0.82435,0.996322,17626,0,0.17565,0.994322,5353,1,2.159
KLK3,3,0.98077,0.998643,20988,0,0.04988,0.988529,923,3,2.1587
C2orf57,3,0.98415,0.999015,21054,0,0.041729,0.972765,781,3,2.1573
TNFAIP1,3,0.97144,0.998121,20794,0,0.07194,0.994322,1302,3,2.1539
hsa-mir-6516,2,0.88747,0.996322,18982,0,0.33389,0.994322,7912,1,2.1521
CARD17,1,0.80968,0.996322,17311,0,0.19037,0.994322,5659,1,2.1519
DMRT2,3,0.95215,0.997574,20389,0,0.17812,0.994322,3577,2,2.1475
DMRT3,2,0.89916,0.996322,19229,0,0.3564,0.994322,8355,1,2.1467
hsa-mir-505,3,0.63143,0.996322,13045,1,0.16707,0.994322,3352,2,2.1463
ZNF562,3,0.96493,0.997574,20661,0,0.17526,0.994322,3530,2,2.1362
C19orf52,3,0.66867,0.996322,13958,1,0.2606,0.994322,5023,2,2.1349
SFXN5,1,0.8101,0.996322,17324,0,0.18996,0.994322,5652,1,2.1331
KIAA1024L,3,0.98405,0.998991,21050,0,0.041951,0.972765,788,3,2.1325
NEFH,1,0.61761,0.996322,13731,0,0.38226,0.994322,9005,0,2.131
PPP2R5A,3,0.87595,0.996322,18704,0,0.1645,0.994322,3279,2,2.1304
AIPL1,2,0.90059,0.996322,19267,0,0.16898,0.994322,3510,2,2.1295
hsa-mir-4312,4,0.75913,0.996322,14912,1,0.13952,0.994322,2295,3,2.1282
NBR1,3,0.70393,0.996322,14807,1,0.17042,0.994322,3426,2,2.1277
C16orf45,3,0.97214,0.998121,20810,0,0.07035,0.994322,1274,3,2.1276
PSMG4,3,0.30454,0.996322,6172,1,0.21049,0.994322,4136,2,2.127
CYP1B1,2,0.50905,0.996322,11801,1,0.31033,0.994322,7503,1,2.1255
PPP2R1A,3,0.34798,0.996322,6950,1,0.16553,0.994322,3300,2,2.1231
ESRRG,3,0.68343,0.996322,14325,1,0.078899,0.994322,1404,2,2.1217
PSKH2,3,0.090623,0.976462,1670,1,0.097969,0.994322,1821,2,2.1215
FAM83A,3,0.73897,0.996322,15694,1,0.18683,0.994322,3733,2,2.119
TOP3B,3,0.31672,0.996322,6375,1,0.064764,0.994322,1175,2,2.1187
CYLC2,3,0.9186,0.996322,19680,0,0.17331,0.994322,3484,2,2.1178
ADCK1,3,0.73203,0.996322,15519,1,0.17852,0.994322,3584,2,2.1152
hsa-mir-6772,1,0.77176,0.996322,16492,0,0.22827,0.994322,6574,1,2.1151
ARID3A,3,0.77117,0.996322,16443,1,0.1773,0.994322,3556,2,2.1123
RNF5,3,0.78968,0.996322,16881,1,0.16566,0.994322,3301,2,2.1123
WAPAL,3,0.45632,0.996322,8879,1,0.1813,0.994322,3642,2,2.1071
OR8B4,3,0.77979,0.996322,16651,1,0.18216,0.994322,3656,2,2.1049
FOXI1,2,0.95477,0.997574,20440,0,0.081378,0.994322,1842,2,2.1043
CD300A,1,0.79151,0.996322,16926,0,0.20853,0.994322,6125,1,2.1003
ZNF282,3,0.81863,0.996322,17499,0,0.1578,0.994322,3116,2,2.0998
PRB1,3,0.54516,0.996322,10613,1,0.20043,0.994322,3954,2,2.0991
FOS,2,0.92718,0.996322,19877,0,0.12659,0.994322,2643,2,2.0983
NYX,2,0.51159,0.996322,11854,1,0.28107,0.994322,6939,1,2.0968
DEFB112,2,0.5224,0.996322,12037,1,0.28608,0.994322,7024,1,2.0955
SPINK13,3,0.0056781,0.927204,107,1,0.1524,0.994322,2975,2,2.0955
hsa-mir-4661,4,0.1429,0.978361,2486,1,0.093343,0.994322,1589,3,2.0949
PURG,3,0.84611,0.996322,18090,0,0.083815,0.994322,1513,2,2.094
CEP57L1,1,0.80425,0.996322,17198,0,0.1958,0.994322,5805,1,2.0922
NCR1,3,0.40751,0.996322,8009,1,0.1809,0.994322,3632,2,2.0912
NUDT13,2,0.95708,0.997574,20484,0,0.077512,0.994322,1767,2,2.0899
DHRS7B,3,0.90195,0.996322,19289,0,0.17482,0.994322,3517,2,2.0884
EYA1,1,0.80871,0.996322,17289,0,0.19138,0.994322,5699,1,2.0854
PHF21B,3,0.96263,0.997574,20597,0,0.22287,0.994322,4352,2,2.0849
LRRC14,3,0.767,0.996322,16344,1,0.20622,0.994322,4058,2,2.0834
hsa-let-7c,4,0.60241,0.996322,11147,1,0.13429,0.994322,2208,3,2.0832
ANKS6,3,0.80879,0.996322,17302,0,0.15775,0.994322,3114,2,2.0821
EDNRB,3,0.81191,0.996322,17358,0,0.15714,0.994322,3104,2,2.0821
PRDM13,3,0.94453,0.997045,20243,0,0.17513,0.994322,3527,2,2.0803
GABRB2,3,0.6458,0.996322,13399,1,0.17138,0.994322,3451,2,2.0798
TCL1A,3,0.72865,0.996322,15449,1,0.18357,0.994322,3675,2,2.0761
SZRD1,3,0.76356,0.996322,16268,1,0.11584,0.994322,2183,2,2.0754
SEZ6L2,3,0.93769,0.996611,20109,0,0.20193,0.994322,3981,2,2.0753
CTPS1,3,0.7855,0.996322,16784,1,0.20656,0.994322,4060,2,2.074
SLC2A14,3,0.98917,0.99926,21154,0,0.029255,0.972765,528,3,2.0735
KSR1,1,0.75112,0.996322,16091,0,0.24898,0.994322,6969,1,2.073
PRSS37,3,0.97495,0.998121,20870,0,0.063818,0.994322,1157,3,2.0706
GLCE,3,0.83108,0.996322,17785,0,0.20898,0.994322,4109,2,2.07
GAS8,2,0.95328,0.997574,20418,0,0.083812,0.994322,1874,2,2.0693
PLBD1,3,0.43845,0.996322,8568,1,0.24975,0.994322,4837,2,2.0673
VTA1,1,0.80681,0.996322,17252,0,0.19323,0.994322,5747,1,2.0654
BLOC1S1,3,0.84013,0.996322,17962,0,0.17925,0.994322,3602,2,2.0642
RECQL,3,0.6304,0.996322,13023,1,0.18417,0.994322,3683,2,2.0629
C10orf2,3,0.38307,0.996322,7587,1,0.18122,0.994322,3641,2,2.0581
KIAA0020,3,0.60363,0.996322,12297,1,0.17259,0.994322,3474,2,2.0581
MRPS36,3,0.31672,0.996322,6376,1,0.20413,0.994322,4022,2,2.0572
KLHL17,2,0.9399,0.996692,20154,0,0.1059,0.994322,2273,2,2.0568
PRSS8,3,0.80908,0.996322,17309,0,0.15524,0.994322,3056,2,2.0552
CYP2A6,2,0.7347,0.996322,15773,0,0.34135,0.994322,8047,1,2.0551
MBTPS1,3,0.50375,0.996322,9754,1,0.15319,0.994322,3002,2,2.0532
PPFIA2,3,0.92041,0.996322,19726,0,0.10741,0.994322,2011,2,2.0518
ADAMTS14,2,0.94176,0.996752,20193,0,0.10289,0.994322,2214,2,2.0517
ZNF773,3,0.57802,0.996322,11581,1,0.0034284,0.956958,62,2,2.0504
ISOC2,3,0.94191,0.996752,20195,0,0.20719,0.994322,4077,2,2.0487
HNRPLL,1,0.77182,0.996322,16496,0,0.2282,0.994322,6573,1,2.0481
MAD1L1,3,0.28971,0.996322,5877,1,0.18119,0.994322,3640,2,2.0465
POU2F2,1,0.81938,0.996322,17512,0,0.18067,0.994322,5439,1,2.0437
SLC34A1,3,0.74523,0.996322,15837,1,0.1761,0.994322,3542,2,2.0421
B9D1,3,0.98631,0.999165,21086,0,0.036414,0.972765,681,3,2.0415
GTPBP6_X,3,0.98894,0.99926,21147,0,0.029825,0.972765,539,3,2.0415
POC1B,3,0.73933,0.996322,15702,1,0.16238,0.994322,3225,2,2.0413
IREB2,2,0.91752,0.996322,19653,0,0.14222,0.994322,2947,2,2.0395
VAC14,3,0.25763,0.994862,5152,1,0.22633,0.994322,4425,2,2.0385
ERVV-1,3,0.55781,0.996322,10968,1,0.164,0.994322,3269,2,2.0373
KRTAP19-1,3,0.94463,0.997045,20246,0,0.17969,0.994322,3607,2,2.0361
hsa-mir-518f,3,0.72368,0.996322,15338,1,0.18771,0.994322,3752,2,2.0325
SMC1A,3,0.86263,0.996322,18426,0,0.18052,0.994322,3625,2,2.031
FOXD3,3,0.9419,0.996752,20194,0,0.15552,0.994322,3061,2,2.0309
ADM,3,0.12673,0.976462,2368,1,0.18012,0.994322,3617,2,2.0278
USP47,3,0.99254,0.999457,21220,0,0.020463,0.972765,384,3,2.0276
NCR2,3,0.96497,0.997574,20663,0,0.18577,0.994322,3714,2,2.0235
GGH,3,0.32445,0.996322,6518,1,0.27574,0.994322,5309,2,2.017
DCAF6,3,0.4767,0.996322,9251,1,0.167,0.994322,3335,2,2.0166
CDCA3,3,0.96271,0.997574,20601,0,0.18309,0.994322,3664,2,2.0163
EPO,2,0.56473,0.996322,12810,1,0.3349,0.994322,7919,1,2.0158
OR2C3,2,0.90404,0.996322,19332,0,0.16345,0.994322,3415,2,2.0138
TMEM50B,3,0.63727,0.996322,13197,1,0.015695,0.972765,285,2,2.0121
HDLBP,3,0.39031,0.996322,7711,1,0.1833,0.994322,3672,2,2.0106
RBM14,2,0.51029,0.996322,11843,1,0.29236,0.994322,7153,1,2.0098
SPACA1,3,0.89603,0.996322,19159,0,0.16403,0.994322,3270,2,2.0094
EPN1,3,0.36167,0.996322,7194,1,0.22626,0.994322,4424,2,2.0091
LMNB2,3,0.9374,0.996581,20102,0,0.074751,0.994322,1341,2,2.009
AMBRA1,3,0.87761,0.996322,18744,0,0.18191,0.994322,3647,2,2.0075
HNRNPH2,3,0.027046,0.949734,504,1,0.11359,0.994322,2141,2,2.0075
RNF123,3,0.79532,0.996322,16998,1,0.17582,0.994322,3540,2,2.0069
hsa-mir-5007,3,0.24597,0.993219,4907,1,0.17655,0.994322,3547,2,2.0061
KDM4A,1,0.79969,0.996322,17109,0,0.2004,0.994322,5902,1,2.006
PTTG2,3,0.85318,0.996322,18237,0,0.18659,0.994322,3723,2,2.0054
ATP5C1,3,0.21789,0.987402,4263,1,0.21896,0.994322,4283,2,2.005
SYCE2,3,0.60363,0.996322,12291,1,0.21768,0.994322,4255,2,2.0048
SLC35F3,3,0.95353,0.997574,20422,0,0.04861,0.98809,901,2,2.0042
HECW1,3,0.97304,0.998121,20823,0,0.068257,0.994322,1238,3,2.0041
CDCA7L,3,0.5941,0.996322,12017,1,0.25417,0.994322,4913,2,2.0038
C6orf10,3,0.92765,0.996322,19889,0,0.25285,0.994322,4894,2,2.0036
HSD3B1,1,0.77098,0.996322,16481,0,0.22904,0.994322,6590,1,2.0029
EFCAB2,3,0.71879,0.996322,15206,1,0.18209,0.994322,3649,2,2.002
NUP214,3,0.62423,0.996322,12862,1,0.19517,0.994322,3866,2,2.0018
LONRF3,3,0.82952,0.996322,17754,0,0.18958,0.994322,3778,2,2.0013
ERP27,2,0.95728,0.997574,20486,0,0.077154,0.994322,1761,2,2.001
RIMS2,3,0.58648,0.996322,11811,1,0.18449,0.994322,3698,2,2.0008
TMEM163,1,0.7976,0.996322,17058,0,0.20251,0.994322,5953,1,2.0008
hsa-mir-1185-2,1,0.75449,0.996322,16150,0,0.2456,0.994322,6902,1,1.9991
HMGCL,3,0.18413,0.984333,3499,1,0.012641,0.970617,228,2,1.9954
STAG2,3,0.8056,0.996322,17228,1,0.085063,0.994322,1540,2,1.9931
HAS1,3,0.59044,0.996322,11913,1,0.1846,0.994322,3702,2,1.9924
CMTR1,3,0.83505,0.996322,17852,0,0.19322,0.994322,3838,2,1.992
CPT1B,2,0.91641,0.996322,19623,0,0.14398,0.994322,2986,2,1.9917
TAS2R13,3,0.98797,0.99926,21124,0,0.032282,0.972765,598,3,1.9915
HELB,3,0.71895,0.996322,15215,1,0.16119,0.994322,3199,2,1.9912
BSPRY,3,0.76861,0.996322,16388,1,0.179,0.994322,3592,2,1.9909
KCNE1L,2,0.94234,0.996752,20205,0,0.10195,0.994322,2194,2,1.9878
GJB4,3,0.98349,0.998901,21039,0,0.043305,0.972765,811,3,1.9838
RNASEL,3,0.71877,0.996322,15205,1,0.18445,0.994322,3687,2,1.9828
ME1,3,0.24055,0.993219,4777,1,0.1807,0.994322,3629,2,1.9822
PFKFB3,3,0.90259,0.996322,19298,0,0.20996,0.994322,4124,2,1.9812
MIP,2,0.92619,0.996322,19854,0,0.1282,0.994322,2673,2,1.9784
CYP3A43,3,0.48104,0.996322,9317,1,0.16136,0.994322,3201,2,1.9776
hsa-mir-1193,3,0.049501,0.971129,901,1,0.18712,0.994322,3735,2,1.9753
UNC45B,2,0.92302,0.996322,19788,0,0.13327,0.994322,2777,2,1.9749
ARHGAP9,3,0.90793,0.996322,19423,0,0.21301,0.994322,4176,2,1.9743
IST1,1,0.78423,0.996322,16766,0,0.21576,0.994322,6292,1,1.9721
SLC7A2,3,0.42074,0.996322,8246,1,0.20993,0.994322,4123,2,1.9714
EIF5AL1,3,0.52938,0.996322,10257,1,0.22385,0.994322,4371,2,1.971
hsa-mir-4662b,1,0.79479,0.996322,16986,0,0.20527,0.994322,6039,1,1.9695
COX7A1,3,0.92211,0.996322,19770,0,0.18322,0.994322,3665,2,1.9688
RBM4B,3,0.60655,0.996322,12381,1,0.18454,0.994322,3701,2,1.9682
MYBPC2,3,0.94233,0.996752,20202,0,0.20088,0.994322,3961,2,1.9661
DAGLA,3,0.98299,0.998901,21026,0,0.044501,0.972765,837,3,1.9658
PARP15,3,0.88837,0.996322,19005,0,0.1924,0.994322,3824,2,1.9651
RNMT,3,0.65563,0.996322,13642,1,0.16972,0.994322,3413,2,1.9631
CDK5,3,0.96094,0.997574,20554,0,0.22205,0.994322,4336,2,1.9621
hsa-mir-409,3,0.74339,0.996322,15793,1,0.20661,0.994322,4066,2,1.9619
PRSS53,1,0.80078,0.996322,17130,0,0.19926,0.994322,5876,1,1.9595
KIAA0355,2,0.52317,0.996322,12050,1,0.25176,0.994322,6156,1,1.9594
GLS2,1,0.77291,0.996322,16518,0,0.22707,0.994322,6536,1,1.9593
LMBRD1,1,0.7903,0.996322,16897,0,0.20973,0.994322,6141,1,1.9585
SPSB4,3,0.97112,0.998121,20790,0,0.072641,0.994322,1309,3,1.9565
TUBG2,3,0.012155,0.934486,233,1,0.20909,0.994322,4110,2,1.9553
C10orf129,3,0.35437,0.996322,7069,1,0.18382,0.994322,3679,2,1.9548
POU4F3,3,0.95346,0.997574,20420,0,0.16665,0.994322,3328,2,1.9547
BPIFA2,3,0.9097,0.996322,19463,0,0.18656,0.994322,3722,2,1.9543
ABR,3,0.97752,0.998299,20928,0,0.05765,0.994322,1052,3,1.9538
USH1G,3,0.1193,0.976462,2202,1,0.14399,0.994322,2784,2,1.9528
LUC7L3,1,0.79282,0.996322,16952,0,0.20726,0.994322,6089,1,1.9521
GORAB,2,0.91895,0.996322,19691,0,0.13989,0.994322,2905,2,1.9519
MPP4,3,0.62395,0.996322,12853,1,0.22447,0.994322,4381,2,1.9514
WDR66,3,0.69308,0.996322,14561,1,0.016065,0.972765,291,2,1.9509
SDAD1,1,0.79546,0.996322,16995,0,0.20464,0.994322,6018,1,1.9474
CAPN6,3,0.58648,0.996322,11809,1,0.18936,0.994322,3775,2,1.9452
MIA,1,0.79611,0.996322,17014,0,0.20401,0.994322,5996,1,1.9443
LMOD3,1,0.78059,0.996322,16690,0,0.21944,0.994322,6363,1,1.9422
HES5,3,0.63998,0.996322,13264,1,0.19028,0.994322,3797,2,1.9404
FIGLA,3,0.87428,0.996322,18663,0,0.17321,0.994322,3482,2,1.9387
hsa-mir-4775,3,0.21379,0.987402,4145,1,0.2194,0.994322,4292,2,1.936
PIK3CD,3,0.88476,0.996322,18917,0,0.19295,0.994322,3835,2,1.936
PRL,3,0.54516,0.996322,10622,1,0.14475,0.994322,2801,2,1.9345
TARM1,3,0.86273,0.996322,18429,0,0.1844,0.994322,3686,2,1.9329
FAM156B,1,0.79529,0.996322,16994,0,0.20478,0.994322,6033,1,1.9324
FRMPD1,3,0.90488,0.996322,19343,0,0.1954,0.994322,3875,2,1.9312
ITGA4,3,0.78133,0.996322,16687,1,0.18926,0.994322,3774,2,1.9297
CXorf36,3,0.87898,0.996322,18774,0,0.21902,0.994322,4284,2,1.9284
FUT4,2,0.93878,0.996692,20126,0,0.10781,0.994322,2309,2,1.9283
TCHH,3,0.90722,0.996322,19410,0,0.21549,0.994322,4228,2,1.9282
NCF1,3,0.98832,0.99926,21130,0,0.031419,0.972765,584,3,1.9264
OR2L13,3,0.56006,0.996322,11035,1,0.26987,0.994322,5199,2,1.9264
MBNL2,3,0.87719,0.996322,18734,0,0.1464,0.994322,2842,2,1.926
CSNK1G1,3,0.54516,0.996322,10616,1,0.20021,0.994322,3952,2,1.9252
ZNF812,3,0.74091,0.996322,15743,1,0.1526,0.994322,2980,2,1.925
SAFB2,3,0.77487,0.996322,16527,1,0.1648,0.994322,3284,2,1.923
SHC4,3,0.46781,0.996322,9080,1,0.18734,0.994322,3739,2,1.9206
DHPS,3,0.25659,0.994862,5134,1,0.19204,0.994322,3810,2,1.9199
MYH14,2,0.93627,0.996379,20082,0,0.11192,0.994322,2370,2,1.9171
TRPC5OS,3,0.98266,0.998901,21020,0,0.045358,0.972765,854,3,1.9134
PRR7,2,0.52262,0.996322,12041,1,0.27819,0.994322,6879,1,1.9112
HORMAD1,1,0.79109,0.996322,16919,0,0.20895,0.994322,6129,1,1.909
TNFSF10,3,0.89256,0.996322,19092,0,0.093595,0.994322,1731,2,1.9081
WNT5A,3,0.91954,0.996322,19709,0,0.12448,0.994322,2365,2,1.907
hsa-mir-4768,3,0.8076,0.996322,17280,0,0.19153,0.994322,3808,2,1.9013
GEM,2,0.9638,0.997574,20624,0,0.065981,0.994322,1552,2,1.8993
SSFA2,3,0.5923,0.996322,11967,1,0.21143,0.994322,4153,2,1.8985
TGFB1,3,0.97615,0.998121,20897,0,0.061022,0.994322,1108,3,1.8979
ECEL1,3,0.88016,0.996322,18805,0,0.19739,0.994322,3906,2,1.8963
PLCB3,3,0.73944,0.996322,15706,1,0.10985,0.994322,2058,2,1.8957
DEFB119,3,0.9911,0.99926,21192,0,0.024142,0.972765,450,3,1.8921
QKI,3,0.13702,0.976462,2549,1,0.19705,0.994322,3903,2,1.8918
MPI,1,0.79619,0.996322,17017,0,0.20392,0.994322,5995,1,1.8906
C11orf49,3,0.41834,0.996322,8205,1,0.22518,0.994322,4399,2,1.8896
CAMK2N2,2,0.88753,0.996322,18983,0,0.33107,0.994322,7854,1,1.8867
hsa-mir-4720,3,0.77174,0.996322,16457,1,0.15891,0.994322,3148,2,1.8817
GGT1,3,0.84532,0.996322,18067,0,0.18839,0.994322,3761,2,1.8816
NXPE1,2,0.52895,0.996322,12163,1,0.32917,0.994322,7807,1,1.881
CRYGC,1,0.79226,0.996322,16941,0,0.2078,0.994322,6100,1,1.8806
hsa-mir-4425,4,0.2689,0.994862,4741,1,0.10502,0.994322,1773,3,1.8802
SPATA31A4,3,0.94357,0.996988,20225,0,0.21544,0.994322,4221,2,1.8802
SLC22A10,3,0.97381,0.998121,20845,0,0.066441,0.994322,1202,3,1.8753
P2RX4,3,0.92867,0.996322,19911,0,0.18826,0.994322,3758,2,1.8733
ZRSR2,3,0.3207,0.996322,6435,1,0.16608,0.994322,3312,2,1.8731
ATG10,3,0.95813,0.997574,20507,0,0.16205,0.994322,3223,2,1.8717
LYNX1,2,0.8757,0.996322,18695,0,0.3354,0.994322,7939,1,1.8714
FAM3C,1,0.77666,0.996322,16600,0,0.22336,0.994322,6456,1,1.8713
GLG1,2,0.50681,0.996322,11778,1,0.14682,0.994322,3054,1,1.8699
RGS19,3,0.9084,0.996322,19437,0,0.16267,0.994322,3231,2,1.8664
AVPR2,2,0.89942,0.996322,19237,0,0.35044,0.994322,8230,1,1.8657
MIOX,3,0.818,0.996322,17487,0,0.18026,0.994322,3622,2,1.8654
ZNF197,3,0.56234,0.996322,11087,1,0.19451,0.994322,3861,2,1.862
NINJ2,3,0.84426,0.996322,18040,0,0.18009,0.994322,3616,2,1.8619
11-Mar,3,0.62477,0.996322,12868,1,0.18748,0.994322,3742,2,1.8614
OR12D3,3,0.63143,0.996322,13047,1,0.19624,0.994322,3887,2,1.8614
SNX6,3,0.93292,0.996322,20009,0,0.17071,0.994322,3433,2,1.8607
IL7R,3,0.91505,0.996322,19597,0,0.19532,0.994322,3873,2,1.8598
PAX4,3,0.4767,0.996322,9250,1,0.26766,0.994322,5150,2,1.8585
PAX6,3,0.42216,0.996322,8284,1,0.15801,0.994322,3130,2,1.8563
ERLIN2,2,0.95233,0.997574,20392,0,0.085405,0.994322,1906,2,1.8556
OPCML,3,0.82779,0.996322,17712,0,0.20357,0.994322,4015,2,1.8552
GRIK2,3,0.89721,0.996322,19192,0,0.26847,0.994322,5176,2,1.8545
hsa-mir-8061,4,0.22384,0.988835,3977,1,0.28223,0.994322,5028,2,1.8516
CALML6,3,0.55359,0.996322,10856,1,0.22284,0.994322,4351,2,1.8512
ATRN,2,0.94322,0.996911,20222,0,0.10046,0.994322,2166,2,1.8506
C1QL3,3,0.94575,0.997216,20266,0,0.12098,0.994322,2301,2,1.8489
MCHR2,3,0.92671,0.996322,19862,0,0.24227,0.994322,4704,2,1.8486
KDM4D,3,0.68531,0.996322,14369,1,0.16513,0.994322,3293,2,1.8483
PLEKHM3,3,0.048259,0.971129,885,1,0.069095,0.994322,1256,2,1.8477
AASDH,2,0.94055,0.996748,20167,0,0.10483,0.994322,2248,2,1.8473
RHBDF1,3,0.55568,0.996322,10925,1,0.20859,0.994322,4103,2,1.8466
SHISA8,3,0.97642,0.998121,20903,0,0.060345,0.994322,1098,3,1.8461
FGF11,1,0.80682,0.996322,17253,0,0.19321,0.994322,5745,1,1.846
P2RX1,3,0.88986,0.996322,19043,0,0.25642,0.994322,4943,2,1.846
CORO7,3,0.98089,0.998643,20991,0,0.049598,0.988529,915,3,1.8452
ZNF418,3,0.81561,0.996322,17439,0,0.18947,0.994322,3776,2,1.8434
ZP3,3,0.76776,0.996322,16363,1,0.1752,0.994322,3529,2,1.8434
C19orf43,3,0.75413,0.996322,16061,1,0.19202,0.994322,3809,2,1.8431
PLEKHA1,3,0.39928,0.996322,7857,1,0.20612,0.994322,4057,2,1.843
CDC123,3,0.90304,0.996322,19308,0,0.20143,0.994322,3971,2,1.8415
DUSP14,2,0.91476,0.996322,19593,0,0.14654,0.994322,3036,2,1.8414
STK16,3,0.13801,0.976462,2568,1,0.19208,0.994322,3812,2,1.8396
TRIM26,3,0.81185,0.996322,17356,0,0.19019,0.994322,3796,2,1.8396
ANKRD24,1,0.78329,0.996322,16741,0,0.2167,0.994322,6301,1,1.8391
ZNF645,2,0.51292,0.996322,11877,1,0.26777,0.994322,6626,1,1.8384
SCRG1,3,0.97106,0.998121,20789,0,0.0728,0.994322,1314,3,1.8376
RNF7,3,0.98192,0.998847,21009,0,0.047143,0.981813,883,3,1.8367
BCAS4,1,0.76956,0.996322,16450,0,0.2305,0.994322,6625,1,1.8351
UFC1,2,0.91045,0.996322,19482,0,0.15345,0.994322,3191,2,1.8336
TJP2,3,0.75946,0.996322,16180,1,0.1994,0.994322,3940,2,1.8324
LOC149373,3,0.27649,0.994862,5581,1,0.23004,0.994322,4482,2,1.8319
HIGD1C,3,0.98311,0.998901,21029,0,0.04421,0.972765,831,3,1.8313
AKAP7,3,0.97975,0.998361,20970,0,0.052339,0.988529,966,3,1.831
GLIS2,3,0.64878,0.996322,13484,1,0.19789,0.994322,3913,2,1.831
TFEC,3,0.983,0.998901,21027,0,0.044441,0.972765,835,3,1.8301
SST,3,0.66464,0.996322,13860,1,0.25904,0.994322,5003,2,1.8287
A1CF,3,0.76231,0.996322,16241,1,0.26709,0.994322,5140,2,1.8266
C22orf29,3,0.79093,0.996322,16913,1,0.21835,0.994322,4277,2,1.8251
CD276,2,0.95736,0.997574,20488,0,0.076995,0.994322,1760,2,1.8251
CCDC24,3,0.57599,0.996322,11496,1,0.20563,0.994322,4046,2,1.8247
PPP1CB,2,0.52247,0.996322,12038,1,0.30446,0.994322,7387,1,1.8241
FGR,3,0.71134,0.996322,15012,1,0.19876,0.994322,3926,2,1.824
ZHX3,3,0.44312,0.996322,8654,1,0.19702,0.994322,3902,2,1.8239
